subject,regime,channel,condition,rep,K,sfreq,n_samples,val_loss,perplexity,wall_seconds
0,rest,Fp1,real,0,7,100.0,18200,1.4734911344992885,4.364445441062142,116.24710059165955
0,rest,Fp2,real,0,7,100.0,18200,1.545298324264281,4.689370371337926,129.68560481071472
0,rest,F3,real,0,7,100.0,18200,1.4822745269386224,4.402948926222744,139.5888147354126
0,rest,F4,real,0,7,100.0,18200,1.443685076128823,4.23627809570678,138.9023826122284
0,rest,F7,real,0,7,100.0,18200,1.430540055121674,4.180956529312224,137.46263003349304
0,rest,F8,real,0,7,100.0,18200,1.5190206667480417,4.567749654853532,121.76692795753479
0,rest,T3,real,0,7,100.0,18200,1.423430303873449,4.151336389094802,114.54793953895569
0,rest,T4,real,0,7,100.0,18200,1.4703587753220568,4.350795819250846,114.72844076156616
0,rest,C3,real,0,7,100.0,18200,1.440977796272197,4.224824815963416,116.56198763847351
0,rest,C4,real,0,7,100.0,18200,1.4831068205974318,4.406614998106664,114.56383347511292
0,rest,T5,real,0,7,100.0,18200,1.4425327765776903,4.231399445731532,131.03458523750305
0,rest,T6,real,0,7,100.0,18200,1.4191329765586278,4.133535014398651,138.28261399269104
0,rest,P3,real,0,7,100.0,18200,1.4498972908585694,4.2626766768225295,137.58749747276306
0,rest,P4,real,0,7,100.0,18200,1.4134845145534185,4.110252715415237,138.62144303321838
0,rest,O1,real,0,7,100.0,18200,1.4101513226687907,4.096575261872254,119.33420705795288
0,rest,O2,real,0,7,100.0,18200,1.3306719103739597,3.7835847635381072,115.88460564613342
0,rest,Fz,real,0,7,100.0,18200,1.43111680486804,4.183368590441032,115.85135531425476
0,rest,Cz,real,0,7,100.0,18200,1.4152708691022347,4.117601645993746,116.10901999473572
0,rest,Pz,real,0,7,100.0,18200,1.4389363631721424,4.216208916125926,115.13808965682983
0,arithmetic,Fp1,real,0,7,100.0,6200,1.405742788268036,4.078555119299605,43.4066960811615
0,arithmetic,Fp2,real,0,7,100.0,6200,1.4463260431885474,4.247480753026585,47.493229389190674
0,arithmetic,F3,real,0,7,100.0,6200,1.3992299041628469,4.052078276386074,47.35813784599304
0,arithmetic,F4,real,0,7,100.0,6200,1.5108212084016213,4.530449710468018,46.47737908363342
0,arithmetic,F7,real,0,7,100.0,6200,1.5415652899311052,4.671897424587054,47.34992814064026
0,arithmetic,F8,real,0,7,100.0,6200,1.5436664599980887,4.681724195855072,47.34236240386963
0,arithmetic,T3,real,0,7,100.0,6200,1.5054587442120178,4.506220358710023,47.921372413635254
0,arithmetic,T4,real,0,7,100.0,6200,1.5366560869747112,4.649018336930022,47.060208320617676
0,arithmetic,C3,real,0,7,100.0,6200,1.5072060929009645,4.514101180212319,46.317737102508545
0,arithmetic,C4,real,0,7,100.0,6200,1.4866074848687647,4.422068110085511,47.3330078125
0,arithmetic,T5,real,0,7,100.0,6200,1.6167039968925794,5.036462732515741,46.99203586578369
0,arithmetic,T6,real,0,7,100.0,6200,1.5356015754722885,4.644118477551844,44.5200092792511
0,arithmetic,P3,real,0,7,100.0,6200,1.6217691673316676,5.062037991509185,39.25722289085388
0,arithmetic,P4,real,0,7,100.0,6200,1.4735749996430159,4.364811481255139,39.20896077156067
0,arithmetic,O1,real,0,7,100.0,6200,1.6054704738277432,4.9802021064010775,40.19470286369324
0,arithmetic,O2,real,0,7,100.0,6200,1.5804738443452966,4.857256849719235,39.329317569732666
0,arithmetic,Fz,real,0,7,100.0,6200,1.4491096726538153,4.259320636883451,39.682661294937134
0,arithmetic,Cz,real,0,7,100.0,6200,1.473933810847591,4.366377905528956,39.806334257125854
0,arithmetic,Pz,real,0,7,100.0,6200,1.5281490550468089,4.609636737269437,39.31782913208008
1,rest,Fp1,real,0,7,100.0,18200,1.5641120849694743,4.778430211689655,114.11324763298035
1,rest,Fp2,real,0,7,100.0,18200,1.5291343224975407,4.614180700448285,116.32380151748657
1,rest,F3,real,0,7,100.0,18200,1.6163302777740942,5.034580861770503,127.16128754615784
1,rest,F4,real,0,7,100.0,18200,1.4802847100509788,4.394196574770095,140.23975777626038
1,rest,F7,real,0,7,100.0,18200,1.5926958397755842,4.916986484885784,138.2088041305542
1,rest,F8,real,0,7,100.0,18200,1.4734914664703949,4.3644468899321645,139.1847951412201
1,rest,T3,real,0,7,100.0,18200,1.696358687706939,5.454051285749566,123.42864537239075
1,rest,T4,real,0,7,100.0,18200,1.4706844419421927,4.352212958965228,114.79707455635071
1,rest,C3,real,0,7,100.0,18200,1.6076291440225075,4.990964332120811,116.47688555717468
1,rest,C4,real,0,7,100.0,18200,1.4918751416567595,4.4454235072850325,114.70782041549683
1,rest,T5,real,0,7,100.0,18200,1.6317387315751484,5.112756706123922,115.45668983459473
1,rest,T6,real,0,7,100.0,18200,1.4566665580016722,4.291629759006957,130.22531032562256
1,rest,P3,real,0,7,100.0,18200,1.5462959784226882,4.6940510756630385,139.61920499801636
1,rest,P4,real,0,7,100.0,18200,1.477897975497907,4.38372129979517,139.76400423049927
1,rest,O1,real,0,7,100.0,18200,1.4477024916850845,4.253331217030654,138.874502658844
1,rest,O2,real,0,7,100.0,18200,1.425977360751858,4.161923556334119,123.77172255516052
1,rest,Fz,real,0,7,100.0,18200,1.5215933463613531,4.579516140478245,114.77843189239502
1,rest,Cz,real,0,7,100.0,18200,1.4609719376262529,4.310146686926792,116.68121790885925
1,rest,Pz,real,0,7,100.0,18200,1.3731789664268548,3.947880949284991,116.43907427787781
1,arithmetic,Fp1,real,0,7,100.0,6200,1.4643110847868532,4.324562956626233,39.21727132797241
1,arithmetic,Fp2,real,0,7,100.0,6200,1.60937060163487,4.999663457330453,38.63104057312012
1,arithmetic,F3,real,0,7,100.0,6200,1.4872079007062864,4.424723987048915,39.170937299728394
1,arithmetic,F4,real,0,7,100.0,6200,1.515621876517197,4.552251184893386,45.77341079711914
1,arithmetic,F7,real,0,7,100.0,6200,1.3625935178931705,3.9063112637249255,47.02336812019348
1,arithmetic,F8,real,0,7,100.0,6200,1.2370761580829774,3.4455245536433714,46.980082511901855
1,arithmetic,T3,real,0,7,100.0,6200,1.519712049878389,4.570908811876641,47.537771224975586
1,arithmetic,T4,real,0,7,100.0,6200,1.4168765943327004,4.124218694004439,47.38142132759094
1,arithmetic,C3,real,0,7,100.0,6200,1.5417278147611593,4.672656785627855,47.452884912490845
1,arithmetic,C4,real,0,7,100.0,6200,1.4701586743245152,4.349925307765327,47.07980966567993
1,arithmetic,T5,real,0,7,100.0,6200,1.4961659179858222,4.464538805650367,53.689499855041504
1,arithmetic,T6,real,0,7,100.0,6200,1.5708963561461373,4.810958593964238,47.11212515830994
1,arithmetic,P3,real,0,7,100.0,6200,1.4777908462224194,4.383251700062773,46.88537669181824
1,arithmetic,P4,real,0,7,100.0,6200,1.417752948249549,4.127834553365713,47.69055652618408
1,arithmetic,O1,real,0,7,100.0,6200,1.5680672512618061,4.797367122422324,44.49945783615112
1,arithmetic,O2,real,0,7,100.0,6200,1.4300370704271947,4.178854100958663,39.57158589363098
1,arithmetic,Fz,real,0,7,100.0,6200,1.5394102795674458,4.661840277739132,39.63984751701355
1,arithmetic,Cz,real,0,7,100.0,6200,1.5675179075200958,4.79473244255564,39.18609952926636
1,arithmetic,Pz,real,0,7,100.0,6200,1.4981049934552702,4.473204282122038,39.500081062316895
2,rest,Fp1,real,0,7,100.0,18200,1.860436357942427,6.426540431644622,117.27101421356201
2,rest,Fp2,real,0,7,100.0,18200,1.4200724080252964,4.137420011818447,116.07450032234192
2,rest,F3,real,0,7,100.0,18200,1.5394015122102862,4.661799405899565,116.00294637680054
2,rest,F4,real,0,7,100.0,18200,1.5463703046668866,4.694399979815775,128.99305772781372
2,rest,F7,real,0,7,100.0,18200,1.8531466992406844,6.379863481480455,138.95256686210632
2,rest,F8,real,0,7,100.0,18200,1.6111413830056072,5.008524611508552,138.2039761543274
2,rest,T3,real,0,7,100.0,18200,1.6002670007779505,4.954355064470749,138.82959461212158
2,rest,T4,real,0,7,100.0,18200,1.4689667160734756,4.344743467285602,121.4015519618988
2,rest,C3,real,0,7,100.0,18200,1.4353492379699362,4.2011119404244495,115.80316495895386
2,rest,C4,real,0,7,100.0,18200,1.3973565842486029,4.0444945430539985,115.77930498123169
2,rest,T5,real,0,7,100.0,18200,1.5584918092421904,4.751649444499027,115.16049933433533
2,rest,T6,real,0,7,100.0,18200,1.3677223945245691,3.926397718723446,116.55266642570496
2,rest,P3,real,0,7,100.0,18200,1.4216290174077355,4.143865373781944,135.3106815814972
2,rest,P4,real,0,7,100.0,18200,1.3815881015734066,3.9812191901613385,138.51078820228577
2,rest,O1,real,0,7,100.0,18200,1.507876785635414,4.51712977058971,138.60769891738892
2,rest,O2,real,0,7,100.0,18200,1.4211839573563916,4.142021515190262,138.74387383460999
2,rest,Fz,real,0,7,100.0,18200,1.4205193042900546,4.139269422584066,118.00279498100281
2,rest,Cz,real,0,7,100.0,18200,1.3849019938472533,3.994434406483745,116.52798199653625
2,rest,Pz,real,0,7,100.0,18200,1.4117730294678357,4.103224095599496,116.3387200832367
2,arithmetic,Fp1,real,0,7,100.0,6200,2.084975957385115,8.04439807100785,39.12126183509827
2,arithmetic,Fp2,real,0,7,100.0,6200,1.704220476891888,5.4970988809987995,38.90622353553772
2,arithmetic,F3,real,0,7,100.0,6200,1.7376269839503773,5.683839564063299,38.849581480026245
2,arithmetic,F4,real,0,7,100.0,6200,1.7798360841265375,5.92888450065535,39.233275413513184
2,arithmetic,F7,real,0,7,100.0,6200,1.8047218996964762,6.078280841705119,39.22098755836487
2,arithmetic,F8,real,0,7,100.0,6200,1.689136479923455,5.414802894720153,39.294718503952026
