layer,regime_a,regime_b,cohens_d,abs_d
early,factual,mathematical,3.6768952974997458,3.6768952974997458
early,factual,creative,1.3518607845896038,1.3518607845896038
early,mathematical,creative,-2.7985417108463047,2.7985417108463047
mid,factual,mathematical,3.1409887131974448,3.1409887131974448
mid,factual,creative,1.3209280162631976,1.3209280162631976
mid,mathematical,creative,-2.1092754050030376,2.1092754050030376
late,factual,mathematical,0.2525368644262858,0.2525368644262858
late,factual,creative,1.5775758667756719,1.5775758667756719
late,mathematical,creative,0.8967307654565998,0.8967307654565998
