step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,576,0.0,,,0.9,hold,0.0,0.0,0.0
1,1943,0.7588734030723572,,,0.9,hold,0.3726797103881836,0.7588734030723572,11.625596046447754
2,20992,0.9985635578632355,,,0.9,hold,0.5442107617855072,0.9985635578632355,13.751394748687744
3,429,1.0096805691719055,,,0.9,hold,0.6817266742388407,1.0096805691719055,14.419045766194662
4,264,0.9271584153175354,,,0.9,hold,0.6919023096561432,0.9271584153175354,12.628859400749207
5,3908,0.860138189792633,,,0.9,hold,0.6738946795463562,0.860138189792633,11.807618808746337
6,3743,0.8905677497386932,,,0.9,hold,0.701285700003306,0.8905677497386932,11.153813441594442
7,6941,0.8897062369755336,,,0.9,hold,0.7073972821235657,0.8897062369755336,11.265608446938652
8,47290,0.8974647149443626,,,0.9,hold,0.7494320347905159,0.8974647149443626,11.852368175983429
9,702,0.907428052690294,,,0.9,hold,0.798954705397288,0.907428052690294,12.125671227773031
10,1012,0.9267298579216003,,,0.9,hold,0.8211768567562103,0.9267298579216003,11.910812330245971
11,7402,0.8967523683201183,,,0.9,hold,0.8107178536328402,0.8967523683201183,11.924210938540371
12,369,0.9215686420599619,,,0.9,hold,0.8447373509407043,0.9215686420599619,12.146056771278381
13,3807,0.9103226432433495,,,0.9,hold,0.8507199287414551,0.9103226432433495,11.943161047421968
14,2849,0.9070865937641689,,,0.9,hold,0.8498661688395909,0.9070865937641689,11.650339126586914
15,323,0.9068811257680257,,,0.9,hold,0.8481833020846049,0.9068811257680257,11.600112915039062
16,429,0.908012468367815,,,0.9,hold,0.8463750183582306,0.908012468367815,11.472397089004517
17,279,0.8948296133209678,,,0.9,hold,0.8307947656687569,0.8948296133209678,11.172327518463135
18,326,0.8787556687990824,,,0.9,hold,0.8152429925070869,0.8787556687990824,10.958756764729818
19,57909,0.8830582750471014,,,0.9,hold,0.8052832546987032,0.8830582750471014,11.293456027382298
20,53416,0.8821476250886917,,,0.9,hold,0.8087824761867524,0.8821476250886917,11.463949251174927
21,702,0.8849450917471022,,,0.9,hold,0.8068872122537523,0.8849450917471022,11.472729546683174
22,1012,0.8813848116181113,,,0.9,hold,0.8071867254647341,0.8813848116181113,11.438943256031383
23,15039,0.8639264016047769,,,0.9,hold,0.7946150743443033,0.8639264016047769,11.473546981811523
24,98129,0.8783430767556032,,,0.9,hold,0.8015298669536909,0.8783430767556032,11.71997849146525
25,369,0.8815885055065155,,,0.9,hold,0.8113882756233215,0.8815885055065155,11.5444114112854
26,1059,0.8916815462020727,,,0.9,hold,0.8161225823255686,0.8916815462020727,11.666623867475069
