layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.0743,
0,factual,creative,0.32,
0,factual,philosophical,0.0635,
0,mathematical,creative,0.3837,
0,mathematical,philosophical,0.1234,
0,creative,philosophical,0.2099,
1,factual,mathematical,0.2321,
1,factual,creative,0.4473,
1,factual,philosophical,0.1892,
1,mathematical,creative,0.2393,
1,mathematical,philosophical,0.0123,
1,creative,philosophical,0.1849,
2,factual,mathematical,0.2998,
2,factual,creative,0.304,
2,factual,philosophical,0.0253,
2,mathematical,creative,0.5897,
2,mathematical,philosophical,0.3332,
2,creative,philosophical,0.2849,
3,factual,mathematical,0.713,
3,factual,creative,0.4775,
3,factual,philosophical,0.0051,
3,mathematical,creative,1.0502,
3,mathematical,philosophical,0.7739,
3,creative,philosophical,0.4896,
4,factual,mathematical,0.1502,
4,factual,creative,0.64,
4,factual,philosophical,0.0127,
4,mathematical,creative,0.79,
4,mathematical,philosophical,0.1823,
4,creative,philosophical,0.696,
5,factual,mathematical,0.0398,
5,factual,creative,0.5691,
5,factual,philosophical,0.0731,
5,mathematical,creative,0.5629,
5,mathematical,philosophical,0.0476,
5,creative,philosophical,0.4359,
6,factual,mathematical,0.3654,
6,factual,creative,0.4586,
6,factual,philosophical,0.3861,
6,mathematical,creative,0.1757,
6,mathematical,philosophical,0.0201,
6,creative,philosophical,0.2006,
7,factual,mathematical,0.1229,
7,factual,creative,0.6586,
7,factual,philosophical,0.2912,
7,mathematical,creative,0.7794,
7,mathematical,philosophical,0.4251,
7,creative,philosophical,0.3989,
8,factual,mathematical,0.0975,
8,factual,creative,0.4848,
8,factual,philosophical,0.1143,
8,mathematical,creative,0.6085,
8,mathematical,philosophical,0.2461,
8,creative,philosophical,0.4235,
9,factual,mathematical,0.1802,
9,factual,creative,0.1159,
9,factual,philosophical,0.2284,
9,mathematical,creative,0.0575,
9,mathematical,philosophical,0.0123,
9,creative,philosophical,0.0788,
10,factual,mathematical,0.2067,
10,factual,creative,0.7042,
10,factual,philosophical,0.2813,
10,mathematical,creative,1.0554,
10,mathematical,philosophical,0.6315,
10,creative,philosophical,0.5083,
11,factual,mathematical,0.1309,
11,factual,creative,0.5256,
11,factual,philosophical,0.1882,
11,mathematical,creative,0.6668,
11,mathematical,philosophical,0.3354,
11,creative,philosophical,0.3613,
12,factual,mathematical,0.2006,
12,factual,creative,0.3907,
12,factual,philosophical,0.2101,
12,mathematical,creative,0.5965,
12,mathematical,philosophical,0.0138,
12,creative,philosophical,0.6351,
13,factual,mathematical,0.7453,
13,factual,creative,0.2237,
13,factual,philosophical,0.4925,
13,mathematical,creative,0.5538,
13,mathematical,philosophical,0.3786,
13,creative,philosophical,0.2653,
14,factual,mathematical,0.5942,
14,factual,creative,0.2863,
14,factual,philosophical,0.408,
14,mathematical,creative,0.3289,
14,mathematical,philosophical,0.2612,
14,creative,philosophical,0.1077,
15,factual,mathematical,0.296,
15,factual,creative,0.1305,
15,factual,philosophical,0.0147,
15,mathematical,creative,0.4386,
15,mathematical,philosophical,0.3462,
15,creative,philosophical,0.1289,
16,factual,mathematical,0.159,
16,factual,creative,0.2065,
16,factual,philosophical,0.3741,
16,mathematical,creative,0.3956,
16,mathematical,philosophical,0.5906,
16,creative,philosophical,0.1695,
17,factual,mathematical,0.3099,
17,factual,creative,0.2501,
17,factual,philosophical,0.5372,
17,mathematical,creative,0.5392,
17,mathematical,philosophical,0.8514,
17,creative,philosophical,0.244,
18,factual,mathematical,0.2184,
18,factual,creative,0.3702,
18,factual,philosophical,0.3648,
18,mathematical,creative,0.5531,
18,mathematical,philosophical,0.5592,
18,creative,philosophical,0.029,
19,factual,mathematical,0.2598,
19,factual,creative,0.49,
19,factual,philosophical,0.4339,
19,mathematical,creative,0.6931,
19,mathematical,philosophical,0.6612,
19,creative,philosophical,0.0943,
20,factual,mathematical,0.2102,
20,factual,creative,0.4562,
20,factual,philosophical,0.289,
20,mathematical,creative,0.633,
20,mathematical,philosophical,0.5017,
20,creative,philosophical,0.2139,
21,factual,mathematical,0.2734,
21,factual,creative,0.3303,
21,factual,philosophical,0.1382,
21,mathematical,creative,0.5796,
21,mathematical,philosophical,0.438,
21,creative,philosophical,0.2283,
22,factual,mathematical,0.2289,
22,factual,creative,0.3998,
22,factual,philosophical,0.1606,
22,mathematical,creative,0.6047,
22,mathematical,philosophical,0.4166,
22,creative,philosophical,0.2888,
23,factual,mathematical,0.2423,
23,factual,creative,0.371,
23,factual,philosophical,0.0599,
23,mathematical,creative,0.593,
23,mathematical,philosophical,0.3427,
23,creative,philosophical,0.3569,
24,factual,mathematical,0.2296,
24,factual,creative,0.2855,
24,factual,philosophical,0.0061,
24,mathematical,creative,0.5054,
24,mathematical,philosophical,0.2715,
24,creative,philosophical,0.3341,
25,factual,mathematical,0.1093,
25,factual,creative,0.3597,
25,factual,philosophical,0.1248,
25,mathematical,creative,0.451,
25,mathematical,philosophical,0.2421,
25,creative,philosophical,0.2817,
