layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.1636,
0,factual,creative,0.2298,
0,factual,philosophical,0.1504,
0,mathematical,creative,0.3722,
0,mathematical,philosophical,0.2692,
0,creative,philosophical,0.0344,
1,factual,mathematical,0.0953,
1,factual,creative,0.4408,
1,factual,philosophical,0.3262,
1,mathematical,creative,0.5189,
1,mathematical,philosophical,0.3836,
1,creative,philosophical,0.0125,
2,factual,mathematical,0.0506,
2,factual,creative,0.195,
2,factual,philosophical,0.0548,
2,mathematical,creative,0.1359,
2,mathematical,philosophical,0.0002,
2,creative,philosophical,0.1478,
3,factual,mathematical,0.2174,
3,factual,creative,0.4405,
3,factual,philosophical,0.0055,
3,mathematical,creative,0.6151,
3,mathematical,philosophical,0.1966,
3,creative,philosophical,0.4317,
4,factual,mathematical,0.2451,
4,factual,creative,0.7009,
4,factual,philosophical,0.1857,
4,mathematical,creative,0.8429,
4,mathematical,philosophical,0.5058,
4,creative,philosophical,0.6111,
5,factual,mathematical,0.0727,
5,factual,creative,0.5662,
5,factual,philosophical,0.1758,
5,mathematical,creative,0.5458,
5,mathematical,philosophical,0.1395,
5,creative,philosophical,0.3758,
6,factual,mathematical,0.4889,
6,factual,creative,0.4764,
6,factual,philosophical,0.7152,
6,mathematical,creative,0.1664,
6,mathematical,philosophical,0.2748,
6,creative,philosophical,0.0315,
7,factual,mathematical,0.1114,
7,factual,creative,0.7022,
7,factual,philosophical,0.441,
7,mathematical,creative,0.5878,
7,mathematical,philosophical,0.3281,
7,creative,philosophical,0.2585,
8,factual,mathematical,0.2851,
8,factual,creative,0.3726,
8,factual,philosophical,0.3178,
8,mathematical,creative,0.6519,
8,mathematical,philosophical,0.7024,
8,creative,philosophical,0.1075,
9,factual,mathematical,0.1184,
9,factual,creative,0.032,
9,factual,philosophical,0.4478,
9,mathematical,creative,0.0849,
9,mathematical,philosophical,0.5756,
9,creative,philosophical,0.4777,
10,factual,mathematical,0.3324,
10,factual,creative,0.4809,
10,factual,philosophical,0.2432,
10,mathematical,creative,0.1722,
10,mathematical,philosophical,0.568,
10,creative,philosophical,0.6991,
11,factual,mathematical,0.5701,
11,factual,creative,0.4936,
11,factual,philosophical,0.1274,
11,mathematical,creative,0.9346,
11,mathematical,philosophical,0.5569,
11,creative,philosophical,0.3077,
12,factual,mathematical,0.1037,
12,factual,creative,0.4623,
12,factual,philosophical,0.1174,
12,mathematical,creative,0.5814,
12,mathematical,philosophical,0.2493,
12,creative,philosophical,0.3854,
13,factual,mathematical,0.5303,
13,factual,creative,0.4717,
13,factual,philosophical,0.463,
13,mathematical,creative,0.0814,
13,mathematical,philosophical,0.1199,
13,creative,philosophical,0.0359,
14,factual,mathematical,0.2182,
14,factual,creative,0.5344,
14,factual,philosophical,0.4572,
14,mathematical,creative,0.2429,
14,mathematical,philosophical,0.1514,
14,creative,philosophical,0.1292,
15,factual,mathematical,0.0423,
15,factual,creative,0.1035,
15,factual,philosophical,0.0508,
15,mathematical,creative,0.0507,
15,mathematical,philosophical,0.0025,
15,creative,philosophical,0.066,
16,factual,mathematical,0.0109,
16,factual,creative,0.1169,
16,factual,philosophical,0.1098,
16,mathematical,creative,0.1024,
16,mathematical,philosophical,0.1187,
16,creative,philosophical,0.2518,
17,factual,mathematical,0.2019,
17,factual,creative,0.3898,
17,factual,philosophical,0.2223,
17,mathematical,creative,0.2062,
17,mathematical,philosophical,0.4415,
17,creative,philosophical,0.6136,
18,factual,mathematical,0.1432,
18,factual,creative,0.1067,
18,factual,philosophical,0.0924,
18,mathematical,creative,0.0433,
18,mathematical,philosophical,0.2348,
18,creative,philosophical,0.2044,
19,factual,mathematical,0.162,
19,factual,creative,0.1189,
19,factual,philosophical,0.2043,
19,mathematical,creative,0.2538,
19,mathematical,philosophical,0.3425,
19,creative,philosophical,0.0626,
20,factual,mathematical,0.1092,
20,factual,creative,0.1136,
20,factual,philosophical,0.0122,
20,mathematical,creative,0.2065,
20,mathematical,philosophical,0.1266,
20,creative,philosophical,0.1091,
21,factual,mathematical,0.1978,
21,factual,creative,0.0416,
21,factual,philosophical,0.1021,
21,mathematical,creative,0.2245,
21,mathematical,philosophical,0.122,
21,creative,philosophical,0.1388,
22,factual,mathematical,0.1924,
22,factual,creative,0.1488,
22,factual,philosophical,0.0659,
22,mathematical,creative,0.3189,
22,mathematical,philosophical,0.1496,
22,creative,philosophical,0.2211,
23,factual,mathematical,0.1413,
23,factual,creative,0.1885,
23,factual,philosophical,0.0377,
23,mathematical,creative,0.3065,
23,mathematical,philosophical,0.1202,
23,creative,philosophical,0.2389,
24,factual,mathematical,0.1118,
24,factual,creative,0.0601,
24,factual,philosophical,0.1183,
24,mathematical,creative,0.1611,
24,mathematical,philosophical,0.0238,
24,creative,philosophical,0.1787,
25,factual,mathematical,0.1307,
25,factual,creative,0.0511,
25,factual,philosophical,0.0328,
25,mathematical,creative,0.18,
25,mathematical,philosophical,0.1152,
25,creative,philosophical,0.0905,
