layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.4071,
0,factual,creative,0.8574,
0,factual,philosophical,0.6594,
0,mathematical,creative,0.6589,
0,mathematical,philosophical,0.4129,
0,creative,philosophical,0.2773,
1,factual,mathematical,0.6712,
1,factual,creative,1.0174,
1,factual,philosophical,0.7745,
1,mathematical,creative,0.7417,
1,mathematical,philosophical,0.4343,
1,creative,philosophical,0.3263,
2,factual,mathematical,0.1921,
2,factual,creative,0.3988,
2,factual,philosophical,0.5683,
2,mathematical,creative,0.3395,
2,mathematical,philosophical,0.4885,
2,creative,philosophical,0.0107,
3,factual,mathematical,0.4899,
3,factual,creative,0.2446,
3,factual,philosophical,0.5968,
3,mathematical,creative,0.16,
3,mathematical,philosophical,0.468,
3,creative,philosophical,0.1304,
4,factual,mathematical,0.2721,
4,factual,creative,0.2749,
4,factual,philosophical,0.482,
4,mathematical,creative,0.1991,
4,mathematical,philosophical,0.609,
4,creative,philosophical,0.4759,
5,factual,mathematical,0.4386,
5,factual,creative,0.2624,
5,factual,philosophical,0.2966,
5,mathematical,creative,0.1185,
5,mathematical,philosophical,0.5174,
5,creative,philosophical,0.3874,
6,factual,mathematical,0.7567,
6,factual,creative,0.2277,
6,factual,philosophical,0.3802,
6,mathematical,creative,0.0298,
6,mathematical,philosophical,0.7863,
6,creative,philosophical,0.394,
7,factual,mathematical,0.2391,
7,factual,creative,0.6155,
7,factual,philosophical,0.0292,
7,mathematical,creative,0.5071,
7,mathematical,philosophical,0.1348,
7,creative,philosophical,0.5408,
8,factual,mathematical,0.3684,
8,factual,creative,0.56,
8,factual,philosophical,0.0189,
8,mathematical,creative,0.3572,
8,mathematical,philosophical,0.3543,
8,creative,philosophical,0.5542,
9,factual,mathematical,0.1773,
9,factual,creative,0.0668,
9,factual,philosophical,0.1974,
9,mathematical,creative,0.1586,
9,mathematical,philosophical,0.3241,
9,creative,philosophical,0.0571,
10,factual,mathematical,0.2212,
10,factual,creative,0.4737,
10,factual,philosophical,0.1994,
10,mathematical,creative,0.3996,
10,mathematical,philosophical,0.3809,
10,creative,philosophical,0.5574,
11,factual,mathematical,0.4397,
11,factual,creative,0.746,
11,factual,philosophical,0.0506,
11,mathematical,creative,0.4364,
11,mathematical,philosophical,0.347,
11,creative,philosophical,0.6784,
12,factual,mathematical,0.3137,
12,factual,creative,0.5961,
12,factual,philosophical,0.1958,
12,mathematical,creative,0.3628,
12,mathematical,philosophical,0.4982,
12,creative,philosophical,0.723,
13,factual,mathematical,0.3885,
13,factual,creative,0.2439,
13,factual,philosophical,0.5225,
13,mathematical,creative,0.0833,
13,mathematical,philosophical,0.1925,
13,creative,philosophical,0.2332,
14,factual,mathematical,0.3463,
14,factual,creative,0.3854,
14,factual,philosophical,0.5103,
14,mathematical,creative,0.1068,
14,mathematical,philosophical,0.2157,
14,creative,philosophical,0.0799,
15,factual,mathematical,0.0552,
15,factual,creative,0.0434,
15,factual,philosophical,0.2677,
15,mathematical,creative,0.0893,
15,mathematical,philosophical,0.2175,
15,creative,philosophical,0.266,
16,factual,mathematical,0.115,
16,factual,creative,0.1614,
16,factual,philosophical,0.2133,
16,mathematical,creative,0.0836,
16,mathematical,philosophical,0.1209,
16,creative,philosophical,0.0141,
17,factual,mathematical,0.6891,
17,factual,creative,0.6703,
17,factual,philosophical,0.5509,
17,mathematical,creative,0.4094,
17,mathematical,philosophical,0.2232,
17,creative,philosophical,0.1903,
18,factual,mathematical,0.1835,
18,factual,creative,0.1701,
18,factual,philosophical,0.296,
18,mathematical,creative,0.076,
18,mathematical,philosophical,0.175,
18,creative,philosophical,0.0531,
19,factual,mathematical,0.1221,
19,factual,creative,0.1287,
19,factual,philosophical,0.1752,
19,mathematical,creative,0.1832,
19,mathematical,philosophical,0.0957,
19,creative,philosophical,0.2213,
20,factual,mathematical,0.161,
20,factual,creative,0.227,
20,factual,philosophical,0.1576,
20,mathematical,creative,0.3289,
20,mathematical,philosophical,0.028,
20,creative,philosophical,0.3198,
21,factual,mathematical,0.2547,
21,factual,creative,0.1099,
21,factual,philosophical,0.193,
21,mathematical,creative,0.2973,
21,mathematical,philosophical,0.0361,
21,creative,philosophical,0.2533,
22,factual,mathematical,0.1664,
22,factual,creative,0.2341,
22,factual,philosophical,0.1687,
22,mathematical,creative,0.363,
22,mathematical,philosophical,0.0173,
22,creative,philosophical,0.3584,
23,factual,mathematical,0.1174,
23,factual,creative,0.2946,
23,factual,philosophical,0.1593,
23,mathematical,creative,0.3874,
23,mathematical,philosophical,0.0487,
23,creative,philosophical,0.4135,
24,factual,mathematical,0.1635,
24,factual,creative,0.0914,
24,factual,philosophical,0.2584,
24,mathematical,creative,0.2226,
24,mathematical,philosophical,0.1033,
24,creative,philosophical,0.2972,
25,factual,mathematical,0.0556,
25,factual,creative,0.0461,
25,factual,philosophical,0.2293,
25,mathematical,creative,0.0893,
25,mathematical,philosophical,0.1858,
25,creative,philosophical,0.2243,
