layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,1.0585,
0,factual,creative,0.7392,
0,factual,philosophical,0.1916,
0,mathematical,creative,0.5175,
0,mathematical,philosophical,0.9271,
0,creative,philosophical,0.5563,
1,factual,mathematical,0.9433,
1,factual,creative,1.0445,
1,factual,philosophical,0.2046,
1,mathematical,creative,0.3031,
1,mathematical,philosophical,0.8246,
1,creative,philosophical,0.8505,
2,factual,mathematical,0.5638,
2,factual,creative,1.0584,
2,factual,philosophical,0.14,
2,mathematical,creative,1.6181,
2,mathematical,philosophical,0.7421,
2,creative,philosophical,0.9847,
3,factual,mathematical,1.0289,
3,factual,creative,0.9132,
3,factual,philosophical,0.1159,
3,mathematical,creative,2.1385,
3,mathematical,philosophical,1.3622,
3,creative,philosophical,0.9168,
4,factual,mathematical,2.4407,
4,factual,creative,0.0555,
4,factual,philosophical,0.876,
4,mathematical,creative,2.7921,
4,mathematical,philosophical,2.1736,
4,creative,philosophical,1.0539,
5,factual,mathematical,1.5722,
5,factual,creative,0.6376,
5,factual,philosophical,0.3762,
5,mathematical,creative,2.2022,
5,mathematical,philosophical,1.9356,
5,creative,philosophical,0.259,
6,factual,mathematical,0.1761,
6,factual,creative,1.0501,
6,factual,philosophical,0.2358,
6,mathematical,creative,0.7387,
6,mathematical,philosophical,0.0174,
6,creative,philosophical,0.8541,
7,factual,mathematical,2.264,
7,factual,creative,0.5833,
7,factual,philosophical,0.3819,
7,mathematical,creative,2.5731,
7,mathematical,philosophical,2.4192,
7,creative,philosophical,0.1924,
8,factual,mathematical,1.5679,
8,factual,creative,0.7249,
8,factual,philosophical,0.0643,
8,mathematical,creative,2.1095,
8,mathematical,philosophical,1.6265,
8,creative,philosophical,0.8194,
9,factual,mathematical,0.9284,
9,factual,creative,0.3676,
9,factual,philosophical,0.4009,
9,mathematical,creative,1.3315,
9,mathematical,philosophical,0.598,
9,creative,philosophical,0.8095,
10,factual,mathematical,0.4865,
10,factual,creative,0.3585,
10,factual,philosophical,0.1581,
10,mathematical,creative,0.8911,
10,mathematical,philosophical,0.3539,
10,creative,philosophical,0.555,
11,factual,mathematical,1.3131,
11,factual,creative,0.8283,
11,factual,philosophical,0.4567,
11,mathematical,creative,1.8459,
11,mathematical,philosophical,1.5761,
11,creative,philosophical,0.3469,
12,factual,mathematical,1.1747,
12,factual,creative,0.9065,
12,factual,philosophical,0.5168,
12,mathematical,creative,1.6834,
12,mathematical,philosophical,1.4075,
12,creative,philosophical,0.3259,
13,factual,mathematical,1.3187,
13,factual,creative,0.0435,
13,factual,philosophical,0.113,
13,mathematical,creative,1.2441,
13,mathematical,philosophical,1.2647,
13,creative,philosophical,0.0647,
14,factual,mathematical,1.1931,
14,factual,creative,0.4098,
14,factual,philosophical,0.0221,
14,mathematical,creative,0.7239,
14,mathematical,philosophical,0.9573,
14,creative,philosophical,0.319,
15,factual,mathematical,1.4211,
15,factual,creative,0.5942,
15,factual,philosophical,0.0681,
15,mathematical,creative,0.7629,
15,mathematical,philosophical,1.2564,
15,creative,philosophical,0.5605,
16,factual,mathematical,1.6386,
16,factual,creative,0.9328,
16,factual,philosophical,0.0338,
16,mathematical,creative,0.5043,
16,mathematical,philosophical,1.3844,
16,creative,philosophical,0.8354,
17,factual,mathematical,0.4768,
17,factual,creative,0.8555,
17,factual,philosophical,0.1642,
17,mathematical,creative,0.5164,
17,mathematical,philosophical,0.3065,
17,creative,philosophical,0.7213,
18,factual,mathematical,0.7872,
18,factual,creative,0.686,
18,factual,philosophical,0.0799,
18,mathematical,creative,0.1727,
18,mathematical,philosophical,0.7348,
18,creative,philosophical,0.6271,
19,factual,mathematical,1.1164,
19,factual,creative,0.3014,
19,factual,philosophical,0.042,
19,mathematical,creative,0.9181,
19,mathematical,philosophical,1.2132,
19,creative,philosophical,0.3674,
20,factual,mathematical,0.8347,
20,factual,creative,0.0453,
20,factual,philosophical,0.0831,
20,mathematical,creative,0.8549,
20,mathematical,philosophical,0.9749,
20,creative,philosophical,0.1433,
21,factual,mathematical,0.5582,
21,factual,creative,0.0568,
21,factual,philosophical,0.0294,
21,mathematical,creative,0.5268,
21,mathematical,philosophical,0.5678,
21,creative,philosophical,0.032,
22,factual,mathematical,0.5488,
22,factual,creative,0.0337,
22,factual,philosophical,0.0954,
22,mathematical,creative,0.5838,
22,mathematical,philosophical,0.5139,
22,creative,philosophical,0.1377,
23,factual,mathematical,0.5036,
23,factual,creative,0.0426,
23,factual,philosophical,0.224,
23,mathematical,creative,0.4748,
23,mathematical,philosophical,0.3817,
23,creative,philosophical,0.1779,
24,factual,mathematical,0.0332,
24,factual,creative,0.5048,
24,factual,philosophical,0.5891,
24,mathematical,creative,0.3186,
24,mathematical,philosophical,0.3349,
24,creative,philosophical,0.0149,
25,factual,mathematical,0.133,
25,factual,creative,0.9733,
25,factual,philosophical,0.8941,
25,mathematical,creative,0.6982,
25,mathematical,philosophical,0.6123,
25,creative,philosophical,0.2129,
