layer,regime_a,regime_b,cohens_d,abs_d
early,factual,mathematical,3.1442586110126025,3.1442586110126025
early,factual,creative,-0.1852235914076872,0.1852235914076872
early,mathematical,creative,-4.226148439777934,4.226148439777934
mid,factual,mathematical,1.0612858805078826,1.0612858805078826
mid,factual,creative,-0.2789198894802166,0.2789198894802166
mid,mathematical,creative,-1.663219428709606,1.663219428709606
late,factual,mathematical,0.3385114819687574,0.3385114819687574
late,factual,creative,-1.68741381535902,1.68741381535902
late,mathematical,creative,-1.9713130346148158,1.9713130346148158
