layer,regime,n_prompts,n_steps_total,mean,std,median,min,max
early,factual,7,1568,639.9935067842633,140.0076104835683,611.6258470473751,353.764221314461,1142.45942343435
early,mathematical,7,1568,306.0678799619323,54.36426658975083,298.27566823651716,195.55770184916835,470.79372110674456
early,creative,7,1568,663.0219184370555,106.36067051199872,663.2326396819085,415.8565688594695,981.860249427057
mid,factual,7,1568,8347.689470257235,2815.16183175653,7960.7196399319555,4062.440057569935,23259.42136702999
mid,mathematical,7,1568,6020.549859060121,1300.4654095427818,5916.054445328251,3010.9546311901463,11400.33796938004
mid,creative,7,1568,9055.92571906968,2229.35898537886,8792.244445800781,3761.160904422883,16262.196470199093
late,factual,7,1568,186802.97946177036,23043.692980343767,185316.59053679433,137247.0603578629,264567.4372479839
late,mathematical,7,1568,179537.55256501152,19755.949200229064,180379.54435483873,128400.31388608873,231528.9783266129
late,creative,7,1568,242647.84512086006,40737.43788520811,234455.45567666332,174124.0414566532,385647.32610887097
