regime,mode,n_prompts,fisher_mean_mean,fisher_mean_std,fisher_std_mean,n_down_total,n_up_total,n_hold_total,total_steps
creative,adaptive,7,9118.972286232409,729.5567849630471,2082.9995371246723,271,207,1314,1792
creative,baseline,7,9061.993573232745,714.460115023717,2264.4716054689675,0,0,1792,1792
factual,adaptive,7,7815.00442777625,932.8838038307116,2589.3670745627123,338,117,1337,1792
factual,baseline,7,8086.214705606801,820.2913521766642,2598.314997086552,0,0,1792,1792
mathematical,adaptive,7,5809.9883350064265,582.1885479634551,1222.006564779296,470,110,1212,1792
mathematical,baseline,7,5893.440086751668,638.3724627303203,1244.492795073156,0,0,1792,1792
