step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,2405.5244140625,,,0.9,hold,108.02284240722656,2405.5244140625,203952.328125
2,8728,2257.4647216796875,,,0.9,hold,132.22769165039062,2257.4647216796875,141953.296875
3,15316,2744.458740234375,,,0.9,hold,252.32844034830728,2744.458740234375,170656.07291666666
4,53121,3001.0289916992188,1851.8619689941406,1083.648633597072,0.765,down,269.5124206542969,3001.0289916992188,166463.47265625
5,1701,3005.61220703125,2081.6953735351562,1072.7204035783107,0.9,hold,403.3510498046875,3005.61220703125,154429.0703125
6,538,3642.6581217447915,2235.681512451172,1038.0267538805886,0.765,down,367.3318506876628,3642.6581217447915,145695.10546875
7,578,3458.873046875,2436.678170921689,1079.8004334626585,0.9,hold,351.3377576555525,3458.873046875,151271.6752232143
8,236743,3267.407516479492,2564.452530415853,1065.132321687916,0.9,hold,335.8764400482178,3267.407516479492,154413.7080078125
9,236770,3564.833699544271,2642.5586399784793,1028.2290889853955,0.9,hold,355.58844502766925,3564.833699544271,153211.09114583334
10,236764,4470.161755371094,2734.7861459350584,1013.9441647293363,0.765,down,350.2784591674805,4470.161755371094,149015.921875
11,692,4292.8527055220175,2892.547564974698,1087.8912411816534,0.765,down,336.18235778808594,4292.8527055220175,157526.38636363635
12,735,4546.762522379558,3009.239660020308,1111.1567105631532,0.765,down,327.2193667093913,4546.762522379558,158268.34895833334
13,236743,4630.53627366286,3127.5106494325573,1143.481964046225,0.765,down,313.71396695650543,4630.53627366286,161612.02283653847
14,236778,4918.630013602121,3234.8696225918648,1167.900612416517,0.765,down,305.42246682303295,4918.630013602121,157320.24441964287
15,236884,4966.433520507812,3347.120315325882,1203.9360877510742,0.765,down,294.44859517415364,4966.433520507812,160895.01666666666
16,236770,4837.176795959473,3448.327390649753,1229.8429994774635,0.765,down,305.04794216156006,4837.176795959473,159782.6796875
17,578,4765.936272116269,3530.0244144915014,1237.0662320349045,0.9,hold,302.4829667035271,4765.936272116269,161093.16268382352
18,236743,4603.988057454427,3598.686184359544,1235.0950679962011,0.9,hold,298.62386237250433,4603.988057454427,159271.05164930556
19,236778,4703.023739463405,3651.5968092592743,1222.9325753145392,0.9,hold,297.38684563887745,4703.023739463405,156218.79523026315
20,1890,6239.447161865234,3704.1681557694806,1213.7944894347836,0.765,down,294.7474311828613,6239.447161865234,160075.703125
21,236743,6161.440330868676,3824.895727488326,1301.7845409543143,0.765,down,295.79119655064176,6161.440330868676,162222.22098214287
22,236770,6498.178394664417,3931.1023003692508,1361.796725942842,0.765,down,306.1362561312589,6498.178394664417,159121.89772727274
23,236764,6501.0663584833555,4042.7143044690406,1431.0554066348013,0.765,down,304.360431836999,6501.0663584833555,159284.67730978262
24,834,6337.524703979492,4145.1456400529705,1484.5570720624123,0.765,down,301.4826952616374,6337.524703979492,157206.4580078125
25,506,6160.448115234375,4232.8408026100315,1516.6818747073348,0.765,down,301.4036083984375,6160.448115234375,155752.018125
26,5456,6221.656484750601,4306.979545403276,1532.7308120275993,0.765,down,299.58720221886267,6221.656484750601,157410.1436298077
27,563,6309.05310510706,4377.893506119844,1546.9332595009146,0.765,down,338.6269231725622,6309.05310510706,159829.63368055556
28,1847,6167.179530552456,4446.863491797958,1560.7604957127264,0.765,down,353.3323772975377,6167.179530552456,159726.93359375
29,573,6042.048853380927,4506.18473451363,1565.4093778472957,0.9,hold,361.2927851183661,6042.048853380927,162644.703125
30,538,6032.333553059896,4557.380205142541,1563.5956253944755,0.9,hold,363.79249013264973,6032.333553059896,163955.1265625
31,578,5937.463749054939,4604.95934539794,1560.089418021817,0.9,hold,359.4138424781061,5937.463749054939,164815.42288306452
32,236743,6012.338528540827,4646.6001080122205,1552.9239582676162,0.9,hold,362.1349044307586,6012.338528540827,162708.82157258064
33,236770,6143.368746849798,4687.986120755511,1547.0308728465234,0.9,hold,372.8965094781691,6143.368746849798,166031.67237903227
34,236761,6167.895255796371,4730.791492111226,1543.8196481589987,0.9,hold,368.8472698580834,6167.895255796371,163677.67590725806
35,108,6140.652611517137,4771.851599645088,1540.3260248399415,0.9,hold,365.63790549001385,6140.652611517137,161511.88230846773
36,1018,6165.124724357359,4809.873849974867,1535.3494038941888,0.9,hold,337.59752039755546,6165.124724357359,161887.81552419355
37,2704,5989.6106114541335,4846.502251985205,1530.32221277766,0.9,hold,337.7794204219695,5989.6106114541335,163352.7006048387
