mode,regime,prompt_idx,fisher_mean,fisher_std,mean_gate,n_steps,elapsed_s,model
active,creative,6,726.108683489531,161.7974179597641,0.5640956053393893,256,74.75,google/gemma-3-4b-it
random,factual,0,634.1685985357786,154.0070568032284,0.4978865627053892,256,86.78,google/gemma-3-4b-it
random,factual,1,591.6114013308078,79.04554279569565,0.4978865627053892,256,76.27,google/gemma-3-4b-it
random,factual,2,518.0510377510649,74.65683917328356,0.4978865627053892,256,85.06,google/gemma-3-4b-it
random,factual,3,583.2761424175724,93.20292389378511,0.4978865627053892,256,86.09,google/gemma-3-4b-it
random,factual,4,654.3639326642443,110.60932878067673,0.4978865627053892,256,84.43,google/gemma-3-4b-it
random,factual,5,753.2526469897251,133.99582966454048,0.4978865627053892,256,84.63,google/gemma-3-4b-it
random,factual,6,534.5032853890231,76.1498734308355,0.4978865627053892,256,84.79,google/gemma-3-4b-it
random,mathematical,0,360.0026755877885,55.445726504211294,0.4978865627053892,256,85.17,google/gemma-3-4b-it
random,mathematical,1,315.31490862837677,57.6635164821948,0.4978865627053892,256,85.09,google/gemma-3-4b-it
random,mathematical,2,317.77468616426165,54.049165026500425,0.4978865627053892,256,69.69,google/gemma-3-4b-it
random,mathematical,3,313.3326323053105,43.122417926669954,0.4978865627053892,256,79.51,google/gemma-3-4b-it
random,mathematical,4,303.4276471982315,44.43976137586046,0.4978865627053892,256,80.17,google/gemma-3-4b-it
random,mathematical,5,361.0444647665773,51.064629039122586,0.4978865627053892,256,73.91,google/gemma-3-4b-it
random,mathematical,6,299.69638843606407,41.98831242639674,0.4978865627053892,256,79.66,google/gemma-3-4b-it
random,creative,0,651.1258151195813,99.50642360039038,0.4978865627053892,256,74.34,google/gemma-3-4b-it
random,creative,1,745.2451979970463,98.93064206274626,0.4978865627053892,256,75.39,google/gemma-3-4b-it
random,creative,2,624.8204032507139,175.40707809411677,0.4978865627053892,256,85.47,google/gemma-3-4b-it
random,creative,3,581.6228215848502,80.2079137427476,0.4978865627053892,256,74.45,google/gemma-3-4b-it
random,creative,4,692.3569542958321,147.89873217934846,0.4978865627053892,256,75.17,google/gemma-3-4b-it
random,creative,5,732.0891208763145,135.16710397956234,0.4978865627053892,256,76.84,google/gemma-3-4b-it
random,creative,6,626.2388038498169,94.4830266390866,0.4978865627053892,256,83.03,google/gemma-3-4b-it
constant,factual,0,685.8140091919687,151.17163998044958,0.9203125000000001,256,82.39,google/gemma-3-4b-it
constant,factual,1,548.7838247330905,97.79265193572313,0.9203125000000001,256,84.34,google/gemma-3-4b-it
constant,factual,2,525.7663061260685,59.292449439074126,0.9203125000000001,256,73.0,google/gemma-3-4b-it
constant,factual,3,642.4134247634045,120.67445071516944,0.9203125000000001,256,77.99,google/gemma-3-4b-it
constant,factual,4,616.3877165474422,98.11892974049806,0.9203125000000001,256,70.38,google/gemma-3-4b-it
constant,factual,5,763.8722235967412,126.53073322980353,0.9203125000000001,256,77.0,google/gemma-3-4b-it
constant,factual,6,673.907067659345,81.58384621909056,0.9203125000000001,256,78.38,google/gemma-3-4b-it
constant,mathematical,0,310.6157673517806,59.576803973350934,0.9203125000000001,256,75.02,google/gemma-3-4b-it
constant,mathematical,1,303.45627956118085,75.01595075464493,0.9203125000000001,256,72.16,google/gemma-3-4b-it
constant,mathematical,2,295.5246770586927,63.47853275806276,0.9203125000000001,256,76.61,google/gemma-3-4b-it
constant,mathematical,3,305.7149328285603,42.90757256474913,0.9203125000000001,256,76.44,google/gemma-3-4b-it
constant,mathematical,4,308.3620108771945,49.801003588438526,0.9203125000000001,256,77.98,google/gemma-3-4b-it
constant,mathematical,5,358.3694216407901,65.75574164988119,0.9203125000000001,256,80.29,google/gemma-3-4b-it
constant,mathematical,6,300.8339700247417,32.10488649280369,0.9203125000000001,256,79.9,google/gemma-3-4b-it
constant,creative,0,619.229632193268,93.67976995523773,0.9203125000000001,256,82.4,google/gemma-3-4b-it
constant,creative,1,732.9581836453319,123.0127914714659,0.9203125000000001,256,81.52,google/gemma-3-4b-it
constant,creative,2,704.871064178744,192.69401691898253,0.9203125000000001,256,75.72,google/gemma-3-4b-it
constant,creative,3,645.9995365657425,174.13466755918262,0.9203125000000001,256,82.81,google/gemma-3-4b-it
constant,creative,4,727.8662739253464,148.08537174177584,0.9203125000000001,256,78.14,google/gemma-3-4b-it
constant,creative,5,766.3526504285825,133.12767637087381,0.9203125000000001,256,79.49,google/gemma-3-4b-it
constant,creative,6,675.6278096177164,147.68859979303767,0.9203125000000001,256,77.6,google/gemma-3-4b-it
inverted,factual,0,655.4234268690436,145.6612325569877,0.45845009948243387,256,70.43,google/gemma-3-4b-it
inverted,factual,1,560.1543970196642,96.65773047810309,0.4992436765751336,256,70.81,google/gemma-3-4b-it
inverted,factual,2,539.8932736381231,83.49054009530204,0.4685554573661648,256,76.61,google/gemma-3-4b-it
inverted,factual,3,587.3693505374092,74.31266636480308,0.4902628952258965,256,78.09,google/gemma-3-4b-it
inverted,factual,4,657.2979126681466,108.23519698377996,0.44229050289141014,256,71.17,google/gemma-3-4b-it
inverted,factual,5,765.1085835398391,137.92956115504802,0.48183151466946583,256,70.14,google/gemma-3-4b-it
inverted,factual,6,554.7180404492184,88.99106972614983,0.47602400509640574,256,69.37,google/gemma-3-4b-it
inverted,mathematical,0,339.9864678808143,67.50251101265172,0.5059158570948057,256,69.41,google/gemma-3-4b-it
