mode,regime,mean_fisher,std_fisher,mean_gate,std_gate,n_prompts
baseline,factual,,,,,7
baseline,mathematical,,,,,7
baseline,creative,,,,,7
monitor,factual,639.350718839725,83.64594113804908,1.0,0.0,7
monitor,mathematical,309.86488369295574,14.262274872194121,1.0,0.0,7
monitor,creative,694.0164204710566,48.78322587476978,1.0,0.0,7
active,factual,625.2681430285975,81.859021519164,0.5284219456620382,0.041002303407623605,7
active,mathematical,337.3254123252477,27.535436226617946,0.5110761451900804,0.022921476704995353,7
active,creative,680.306118447226,69.53656546939413,0.5336984977350637,0.028632707821298637,7
random,factual,609.8895778683166,79.87509613521995,0.4978865627053892,0.0,7
random,mathematical,324.37048615523,25.52576969866238,0.4978865627053892,0.0,7
random,creative,664.785588139165,60.48333143831125,0.4978865627053892,0.0,7
constant,factual,636.7063675168657,82.1077506949453,0.9203124999999999,2.398355846665908e-16,7
constant,mathematical,311.8395799061344,21.10966565996388,0.9203124999999999,2.398355846665908e-16,7
constant,creative,696.1293072221044,51.990708736476236,0.9203124999999999,2.398355846665908e-16,7
inverted,factual,617.1378549602063,80.59175794244396,0.47380830732955864,0.01933835403942549,7
inverted,mathematical,323.07054146265824,18.852038283506154,0.5022481894744227,0.01331429798071944,7
inverted,creative,663.4540342208056,47.30460861811406,0.4701310296056493,0.020651694739301382,7
