mode,cohens_d_fact_math,cohens_d_fact_creative,cohens_d_math_creative
baseline,,,
monitor,3.0147431686176516,-0.36814348847112666,-3.353877132380982
active,2.7121046606361574,-0.3993671462381702,-3.2384233979921317
random,2.8551032990614797,-0.4136737287985501,-3.29499811917697
constant,3.150329157655737,-0.4111455006171311,-3.2585893098129914
inverted,2.9106895966401427,-0.3363395117188242,-3.1176384151742322
