window,n,mean,std,cv,q10,q50,q90
32,481,15229616.21141299,1420300.9338937914,0.093259141542216,13424500.75253734,15200968.720958948,17072807.96401381
64,449,16129861.401317103,2954935.8657702096,0.18319660611150204,11811610.792738177,16404551.003857097,19642615.024434082
128,385,8940783.79098369,3432133.351092235,0.38387387854668414,5079327.655811642,7824828.543554226,13196223.278817328
