window,fisher_epsilon,n,mean,std,cv,q10,q50,q90,log_n,log_mean,log_std,log_cv,log_q10,log_q50,log_q90
32,1e-10,481,15229616.21141299,1420300.9338937914,0.093259141542216,13424500.75253734,15200968.720958948,17072807.96401381,481,16.534469960144005,0.09235772063309605,0.005585768449531337,16.41259200977478,16.536869715427766,16.652997578255583
64,1e-10,449,16129861.401317103,2954935.8657702096,0.18319660611150204,11811610.792738177,16404551.003857097,19642615.024434082,449,16.578422693486548,0.19197891869193254,0.011580047284435487,16.284593286860353,16.613069354533547,16.793211978017858
128,1e-10,385,8940783.79098369,3432133.351092235,0.38387387854668414,5079327.655811642,7824828.543554226,13196223.278817328,385,15.843518575153274,1.1165476231739477,0.0704734631942795,15.440688422156754,15.872812382783561,16.39544119201826
