file,q_label,topology,qubits,n_min_filter,status,n_points_used,exp_v_inf,exp_A,exp_tau,exp_rmse,exp_aic,pow_v_inf,pow_a,pow_b,pow_rmse,pow_aic,preferred_model,delta_aic,N_star_grammar,ratio_tau_over_N_star,ratio_tau_over_N_foti_anchor,N_foti_anchor,A_times_tau,alphabet_k,invariant_k_kminus1_pi_half,ratio_A_tau_over_invariant
creative_p0_seed42_none,creative,none,,500.0,ok,39,0.0018039424043081915,0.5931082963043297,205.0052931065444,0.004427503006898144,-416.7537217149642,0.0018039424043081915,438706.3777148479,2.5699881242572475,0.00420637706288531,-420.7499774391449,pow,3.9962557241807417,,,0.02562566163831805,8000.0,121.5903401277923,7,65.97344572538566,1.8430193965298078
creative_p0_seed7_none,creative,none,,500.0,ok,39,0.0016000135984513013,0.5297893517241334,218.63301111032266,0.005038585056125275,-406.66913837344987,0.0016000135984513013,464559.49565759604,2.5713863354470274,0.004854990696767141,-409.56435128968855,pow,2.895212916238677,,,0.027329126388790332,8000.0,115.8294412216331,7,65.97344572538566,1.7556979167614335
creative_p0_seed99_none,creative,none,,500.0,ok,39,0.0022390862929045673,0.2943229740450602,228.17942331399678,0.009413267626547027,-357.9195405481154,0.0022390862929045673,172469.42374150825,2.4911737981273596,0.009376265735841252,-358.22674894443793,pow,0.3072083963225509,,,0.028522427914249596,8000.0,67.15844648566228,7,65.97344572538566,1.0179617836729218
factual_p0_seed42_none,factual,none,,500.0,ok,39,0.0019334944588296076,0.14811938069628278,327.19949789864586,0.008897871782760431,-362.3115661969885,0.0019334944588296076,10.394864956291222,0.9742613117021193,0.00853858699692588,-365.52645986863865,pow,3.2148936716501453,,,0.040899937237330736,8000.0,48.464586992882104,7,65.97344572538566,0.7346074842689868
factual_p0_seed7_none,factual,none,,500.0,ok,39,0.0022125022912181957,0.1472932366111301,334.3401980468576,0.006207777154924832,-390.39228666816393,0.0022125022912181957,3171.450068883869,1.848091227265926,0.006099942511768058,-391.75912270751274,pow,1.3668360393488115,,,0.0417925247558572,8000.0,49.2460498995279,7,65.97344572538566,0.746452597072381
factual_p0_seed99_none,factual,none,,500.0,ok,39,0.001983953271187944,0.7318371088044333,169.98741083191388,0.006448371826200456,-387.42635358676444,0.001983953271187944,999999.9990292002,2.7533131573104757,0.0064211309245704685,-387.75655958487005,pow,0.3302059981056118,,,0.021248426353989235,8000.0,124.40309527637926,7,65.97344572538566,1.885654052301693
mathematical_p0_seed42_none,mathematical,none,,500.0,ok,39,0.0018426421558985012,0.15494413836054705,355.6641324908737,0.015288011704975018,-320.09353190020744,0.0018426421558985012,5.012351503924743,0.8440355549733347,0.01501972542197808,-321.47449126394105,pow,1.3809593637336093,,,0.04445801656135922,8000.0,55.10807255454988,7,65.97344572538566,0.8353068715546119
mathematical_p0_seed7_none,mathematical,none,,500.0,ok,39,0.0018551862997961371,0.007072032407015586,499999.99999687634,0.015174063907970577,-320.677075171137,0.0018551863059421388,0.6855773390609383,0.569959576035116,0.015017909402038754,-321.4839227359108,pow,0.8068475647738182,,,62.49999999960954,8000.0,3536.0162034857026,7,65.97344572538566,53.59756739407493
mathematical_p0_seed99_none,mathematical,none,,500.0,ok,39,0.0017449878659862215,0.00676551767325932,499999.99999996996,0.012194563154152136,-337.7276754345414,0.0017449878662031887,0.6739806204655475,0.5715217384717097,0.011951611118157724,-339.2973566709479,pow,1.5696812364064954,,,62.49999999999625,8000.0,3382.7588366294567,7,65.97344572538566,51.274551441654026
philosophical_p0_seed42_none,philosophical,none,,500.0,ok,39,0.001344148142400613,1.3641129501260552,159.59917790517238,0.0038660124264663547,-427.33147134464275,0.001344148142400613,999999.9960585654,2.686412437939563,0.003763062227575241,-429.4367340035469,pow,2.1052626589041665,,,0.01994989723814655,8000.0,217.71130540991783,7,65.97344572538566,3.2999838498074014
philosophical_p0_seed7_none,philosophical,none,,500.0,ok,39,0.0018839568092070065,0.008510614570170978,15832.019400653006,0.00775438857120478,-373.04071363340927,0.0018839568092070065,1.898674400134304,0.7156828417054354,0.007159799864047864,-379.2633135272117,pow,6.222599893802453,,,1.9790024250816256,8000.0,134.74021498642705,7,65.97344572538566,2.0423401188909085
philosophical_p0_seed99_none,philosophical,none,,500.0,ok,39,0.001521857121829156,0.07040424621010019,543.215172795667,0.004866087757274646,-409.3862699997039,0.001521857121829156,156.06797442553784,1.3839677409066369,0.00457991888410143,-414.1137713688058,pow,4.727501369101901,,,0.06790189659945836,8000.0,38.24465477056825,7,65.97344572538566,0.5796977003408547
