step,entropy,fisher_w32,fisher_w64,fisher_w128
147,0.01310125,18439421.36628393,15453596.525824487,7938929.195453033
148,0.33436593,18072267.069808032,16000046.911372872,10194195.855003916
149,0.08309173,17419393.251135472,17668572.853062738,10385813.393484462
150,0.16414609,17122417.59983981,17185004.273603883,10510010.494157244
151,0.00017367,15938100.57358077,14616388.799384294,10511218.718253024
152,0.00213211,15121156.535503075,11040757.458622124,10371944.128493933
153,0.56165779,15770760.216040734,14682586.594794517,7640043.377561227
154,0.00010416,14791931.386047313,14985183.65271902,7676713.4470046
155,0.00050458,17468466.819597,15139119.818010058,5120564.852591285
156,0.70205036,13903264.588457804,17040965.701312788,7799691.181600707
157,1.14633821,13413562.58572217,17298099.566827834,7775781.6467819875
158,0.99509081,13539497.781681385,17453406.98859294,10353690.311620628
159,0.00035566,14417027.663175203,15765075.327876963,7813525.722353383
160,1.0669037,13876334.00557479,15029077.559188522,7959121.732054416
161,0.28083323,13677457.47763684,14412745.548850862,7664143.192451339
162,0.49045172,13495334.03161318,13366258.522735108,5260482.445569141
163,0.77267669,15082988.627765497,11215730.575665398,7641065.030183585
164,0.2790439,12182429.310533376,11453707.516442645,7673139.846077218
165,0.04431568,12456412.90214656,11461056.151171276,7659429.923394435
166,0.13711468,13935522.392308446,9402507.083172379,7811467.041178433
167,1.02491778,13521641.608796041,7938933.672092296,7950283.943977542
168,0.01906802,12726701.543268032,13704712.510630222,7959064.583041212
169,0.30937559,13635291.460876685,17497729.43173288,7393763.319885369
170,0.00080439,13538719.946102953,21751954.97765606,7784944.446487244
171,0.03548593,13394744.517615668,16825500.678335097,5259568.861057992
172,1.04475459,14843819.38165363,18358770.285017163,5212658.0792638725
173,0.16597938,13198399.561385158,18396869.957759667,7658565.383320325
174,0.2707139,14073327.221758915,17252833.95020079,7527613.089138025
175,0.13231241,14682777.039490193,16761241.852031749,5395937.6823839545
176,0.39722058,14061793.65764639,16845068.321301535,7669351.955796734
177,0.00755029,12729844.363146931,15531026.534044918,5263193.456453273
178,0.08681507,12785739.256337954,15800245.657049406,5393761.149266466
179,0.00046062,13640158.165907431,14928162.327232575,5393759.23247102
180,0.28597133,13005593.471068438,14965260.766477386,7615089.215687571
181,0.09035731,13233886.599978663,16223842.217364434,7815225.294279378
182,0.00116548,13244800.5205423,13897741.505910309,2551243.29337962
183,0.32941692,11942104.244742623,13511373.650118854,4805324.984127921
184,0.00016284,13399131.473376615,13961964.268293345,2553345.4883417827
185,0.38714117,13335700.29600992,14348034.771660287,7485226.674509752
186,0.00109032,13156238.374031622,15977483.222942583,7546867.706114883
187,0.28991286,16070054.72535969,16799397.056325264,7497144.581889591
188,0.00236287,13277691.9641914,15968488.149563085,10041141.405712942
189,0.23601987,13500913.878257345,15825441.922838734,7343131.370213937
190,0.03567345,14900406.917676311,14241982.62106672,10049840.195318947
191,0.00065927,15600038.292785272,11816062.302941078,7653602.711498544
192,0.10369613,16469460.426510185,13404844.983780293,7543175.17072859
193,0.00029283,16214139.109276108,13176576.445543667,7650005.982987104
194,0.00411975,14340019.98596301,11365127.742500808,7378011.881852678
195,0.00133861,14898294.144551951,10008481.839705028,7653602.286302626
196,0.52448132,15468512.40391182,9988504.30877784,7470643.088354267
197,0.00217429,16241747.1713662,10347002.050422765,7501952.940200496
198,0.03697831,15121224.399429936,16141311.694779772,5094583.937641683
199,0.03290763,13387135.3397591,16816152.61439069,7483366.947386743
200,0.43386869,15530093.018120093,12650841.104935333,7493474.683052434
201,0.00803804,14298753.165385555,18230527.518860426,7502875.745551104
202,0.00406271,13542863.028841246,15548627.27632144,5102050.613151958
203,0.04387291,13980826.395141073,14280260.224673232,5088290.155971743
204,0.00149146,14759514.808719538,15392266.612258766,5073352.655704908
205,0.17370287,15070968.235338949,15304417.110667055,5103545.408126813
206,0.00043315,15046318.025888499,15812381.977635194,7626704.38044821
207,0.00035914,14672751.560029808,18179786.06157469,4971603.186945658
208,0.17661145,15660341.541658388,18003473.732475944,4953631.999712852
209,6.726e-05,15672927.060935799,10613799.161596239,5106204.986921452
210,0.00014073,14757626.279627832,16105864.809699934,4969782.009548144
211,0.01150524,16127271.790779842,16052553.244385298,7958167.04279861
212,1.19365359,15229530.914577343,14700906.475071687,7698524.265216551
213,0.64630135,16218114.773551652,17385796.768231884,7786069.366185546
214,0.50055324,14782748.102951352,17732920.86252308,7834295.931727609
215,0.68037247,15832382.670910276,12198638.902568053,7757084.303477585
216,0.28215664,16354877.089671861,14206820.601878196,7623138.889075999
217,0.02636304,17000038.205792602,13458730.281246338,5225442.257362632
218,0.47971999,17677457.724947013,16829785.48010053,5377970.553340062
219,0.04693952,17201132.586283077,10031310.232684977,7797625.2662425935
220,0.00088075,17888647.291189313,14999777.633391254,10353192.816374758
221,0.01937267,17161328.207431264,15228246.748168286,7924094.246286958
222,0.72306782,16294036.899619825,16646592.142916564,7653600.558857866
223,0.00142236,15575259.972544013,17789654.059093814,4801763.241927591
224,0.0283406,15894210.833330883,17729939.914678197,5102423.977156485
225,0.00014513,15883476.887184113,15196900.561055658,4974008.474914112
226,0.0038383,16701928.725292977,18212971.811219722,2275656.262415739
227,0.00489423,17864547.231699996,16397781.868814634,2402138.7340287343
228,0.00071427,16200946.449467033,16323064.173783362,64.04643550235046
229,0.02318652,16549211.452361561,18907767.605230216,64.20934827413909
230,0.00046842,16392948.715562597,20117644.52498422,2705573.3373789536
231,0.00572937,16295407.190575678,22533312.103809398,5395323.855498408
232,0.00010879,15541377.479515754,17653468.668600902,5106070.374418812
233,0.00600538,16259579.772602389,18168522.47226772,10150054.223633105
234,9.127e-05,15775822.316667363,18076940.733433384,15269856.200085875
235,0.0022185,15806489.768305473,18345665.88937237,9791778.63151948
236,0.00364332,15822948.126455287,19023355.095820386,10064022.102211246
237,6.338e-05,16905637.866390903,14992736.982723635,10068210.614464294
238,0.00958468,15873722.385822564,17867395.863527108,9944981.008369152
239,7.457e-05,17337271.790793993,20559398.439933605,12788318.56156892
240,0.00188546,15647699.735485615,15358416.599578887,14883133.78167342
241,0.00020351,15521497.798259472,17456836.25188144,12851934.397150243
242,0.09793686,16864154.937690146,16377773.796547214,9914135.815171089
243,0.00136195,15799078.974380556,16416645.595711708,10084567.813437844
244,0.08366081,16413240.90716826,17761950.497352656,10143717.211525109
245,0.00474861,16019226.858758459,17732309.1169077,10482139.861792082
246,0.00025402,17211405.145049673,17605751.288438134,10200500.52374273
247,0.0174629,16541625.3394084,18831573.748181917,10663600.997260075
248,0.00023763,17980260.241923824,19878256.329851568,7776985.050201954
249,0.00119241,18130355.165422723,21371700.179788645,4968328.957308893
250,0.00184131,16429382.9338307,19976772.564797886,2566089.341323938
251,0.24001943,16049261.735466672,18833252.81274742,2529681.545815713
252,0.00062305,16132902.388268828,19991969.976581812,2569729.709090971
253,0.00719558,16355935.25893905,20001697.078459747,2551213.8696745373
254,0.00300034,15806511.79158844,18784439.203997068,64.06704250632512
255,0.17393325,16096811.637366174,18809570.38412445,2548303.5293259583
256,0.0011559,16540842.949018793,18777824.061725855,2405652.5969225965
257,0.00099381,17168004.986299597,19024943.282104146,2395765.9498007493
258,0.00893988,16341393.030795185,20069472.889838047,2550872.212800752
259,0.00047479,15712500.30050974,20204265.80078043,2412611.719022036
260,0.05354007,16016742.866074914,17949414.434041347,7522379.117423813
261,0.00062095,16688563.818265684,18952301.205181733,7522582.886359232
262,0.00010155,17023707.126181275,19372653.129257254,4961165.255848896
263,0.0903389,14658415.31494343,20724405.145877,4948832.614276847
264,5.965e-05,14733163.292911742,18993595.264883112,7796600.327383541
265,0.00018462,14249207.453558156,19685836.696019765,7919494.044656507
266,0.00273737,13234103.156005073,18065486.858571693,7959330.7553366525
267,0.83060908,15035144.59295602,20391629.627246745,7855385.022302016
268,0.88771033,15064832.74527619,21569405.39517492,5102423.202037503
269,0.0001212,15017274.329416871,19320574.282565575,7787179.316361386
270,0.13383689,15876240.69034805,21578801.46170271,7669353.13013951
271,0.02769559,15463696.608605085,18245903.464982912,7602606.69180807
272,0.00491189,15020603.831257887,17746351.218043506,7755251.869068178
273,0.04133304,13517282.775087968,19071515.949445784,5386920.074100416
274,0.00163449,12580684.125225676,19029044.12142573,2821530.078990511
275,0.00010574,14487962.87647164,19136711.488421652,5283509.291723522
276,0.00132255,15048496.325837452,18256747.00750906,5261425.9532899745
277,0.02738968,15093851.264385618,18187136.600251444,5425648.389567856
278,0.00020468,15582883.706013434,16232124.775854073,10204785.080108944
279,0.00927993,15093851.264385618,14766172.682340078,7682208.390136827
280,0.00020682,15331414.803760646,18005467.066409234,7868108.6854990125
281,0.00024082,15481631.590741474,13986817.992231147,10204787.558320362
282,0.00261023,14964418.205383012,10029903.695997827,13047963.245935548
283,0.00014526,14373794.690356554,11461996.862188607,13145121.31002788
284,0.00049266,13712152.10361752,11429432.468302619,7501773.850567414
285,0.00013381,15038943.640600797,14284198.021247074,5111838.152745559
286,0.00065503,15081704.829610476,11784163.7064442,5102427.329252131
287,3.92e-05,13025998.555208199,12778787.981356207,7674917.0654866
288,0.00018697,14402331.38339809,15492107.83421516,10216858.970164558
289,4.5e-05,13176609.036874123,12833105.368686093,10373548.740901908
290,0.00039408,14662186.407029467,10585802.083834155,5174540.687834845
291,0.00083829,14305913.342269242,11365126.456787879,5266756.992469038
292,2.588e-05,14673384.880258052,11723810.054827148,2792490.6270604157
293,0.00276689,14727745.059308255,11777475.948738767,7914092.955594929
294,5.78e-05,14950705.55224995,10269340.335595744,7731662.354282187
295,0.00028214,15561929.837074736,9171839.369525205,10480008.508914014
296,0.00012509,15271923.759994214,8990561.557193372,7730441.514814652
297,0.07593332,15371440.993117161,11438627.64959452,7667656.992064955
298,0.00067713,15705839.183363343,11344397.15217811,7805938.562261254
299,0.04201718,15806489.768305475,12950822.433173053,7621260.485058971
300,0.00217905,14593014.3769676,12957827.441149812,7801584.474634254
301,0.00041718,14882629.234498408,15452224.307225004,12861417.034583466
302,0.00769116,14388195.420463506,16865905.005246658,15112378.597144011
303,0.0003471,15609938.039070413,16994842.59179297,10333669.06238472
304,0.00079924,14201741.031622116,18995931.95567786,5252897.309640636
305,0.00183248,14180505.889190927,18427320.325941917,5388802.836500286
306,0.11157087,13851801.211809244,18463578.449983977,5409612.425959858
307,0.00056615,14213305.01337617,19640559.69279984,5072080.326618529
308,0.0013564,13822321.54532988,20738347.236237977,7491008.478418427
309,0.00100555,13833968.57496116,18360461.488877203,2275654.6873525004
310,0.06208101,16612940.886064881,20935265.03575152,7685342.906440995
311,0.0004922,14362891.96868887,18529992.630064085,2553930.886881538
312,0.00051101,14379799.600735258,17172763.53081653,2396978.8344661193
313,0.00304368,16064553.510935433,18095282.746031057,4804459.2422218
314,0.00044867,15369359.895778812,17186097.95272817,5093989.018298937
315,0.02083899,15090199.2426904,15462709.01405064,4966532.936470528
316,0.00136295,15881278.057456054,16630613.09679285,4942203.703985006
317,0.00041639,16323506.32743363,17262668.70077231,5066971.542358452
318,0.05326763,17773297.72141777,16812762.181077085,4976492.468210098
319,0.0002481,16415969.896334672,17164817.89807553,7643176.319949191
320,0.00030268,17083703.482039284,19363271.223767415,7653603.689825495
321,0.00191174,15205928.018467871,18106574.886683207,7490559.515532203
322,0.47579775,16916222.183202177,19606941.664159313,7558846.91347035
323,0.17634231,15098069.685308434,17981918.64921967,7653601.612138052
324,0.18806875,16513275.428773448,21919728.215637244,7548801.227412159
325,0.09620941,17088564.297451414,18390270.896563116,7653603.518866306
326,0.05118354,16484872.552551337,19187664.347536493,7653603.518866306
327,0.00152164,16237753.692779483,19675709.64710376,7476055.27215844
328,0.03213559,13677457.746453881,19425946.638340592,10535270.736640919
329,0.00120054,15000038.381729033,20868774.897011925,10203520.395187508
330,0.00013931,15703604.94857724,18253400.12012221,10447845.946452659
331,0.0007142,15598945.36931717,18764963.18323884,10213032.914263299
332,0.11091223,14129715.56919056,19915568.300200775,5102428.031894997
333,0.00020913,13855583.811599843,21179231.988894776,7944944.707768814
334,0.0075601,14501219.930819765,19285757.035715297,7803088.447945463
335,0.00073942,13967779.615514582,19409770.605274856,7629849.784268791
336,0.00047015,13562759.627147868,18340572.058940437,10363586.158094818
337,0.00087398,14426271.099963065,15453579.274426179,7955641.33757738
338,0.0001497,13760476.486588191,16753613.501527674,7817422.586264917
339,0.00048888,13137753.581821075,18038872.277290326,7745916.240033363
340,0.00012955,14158486.930344053,17987673.025131077,15561097.319547148
341,0.00056486,16639308.726610243,16728825.535003878,12958501.332281943
342,4.916e-05,16351389.67005921,16767646.594852755,12895063.779293582
343,0.00015799,15574436.732218128,15190522.902113678,15593935.00019035
344,0.00016833,16784654.029938087,15190522.902113678,15459330.41795824
345,0.00029032,15279841.595553946,15320258.900636116,10483517.588079914
346,0.00131422,15773414.467611488,14175210.901466804,10391339.885107577
347,5.191e-05,16315594.491002472,13871772.187847601,7761724.838181232
348,0.00194616,16391301.373622684,15429535.479088638,7811583.167545005
349,0.00010911,16548779.908127507,15449352.526590696,10311951.893278614
350,0.00025644,16322619.189047202,16733821.729502805,7935406.864539225
351,0.00022241,16322619.189047202,17793695.485889703,7814174.534260005
352,0.05427705,15434769.100900259,14031534.022490252,7939509.407932968
353,0.0004602,16421330.910079814,17222269.49779194,7823573.128619544
354,0.02725446,15652020.448293855,18030353.629895758,10191035.941341413
355,0.00117674,15044098.809605379,18162464.997669067,13047297.996199695
356,0.00146595,13926964.041025704,16764432.706655692,12622966.545783695
357,0.00400383,15200968.720958948,18313974.02493456,10189484.048336089
358,0.00083354,15410631.223447457,15914497.781636685,7815473.0702181775
359,0.00082209,14409625.253359353,19774833.911177915,10657578.015361857
360,0.0010629,15412851.8839329,21020083.73448815,10678775.867214773
361,0.06555256,14354552.140053185,21137515.154296525,10541246.7198842
362,0.00289426,13653737.363342807,19445099.3169112,13047305.76902514
363,0.00057038,13743103.40402098,19722026.382205814,12929819.620324183
364,0.00044107,15425962.538061082,18365122.861552373,12783665.195807265
365,0.02318222,15290360.250789732,16714330.749999058,12771714.311071014
366,0.00058967,15258103.027583592,18366682.461941786,15378180.725560494
367,0.00045831,16838747.996885844,19603731.312479146,15525387.928487265
368,0.00251881,14889133.944579327,19650836.35097105,15425897.43586048
369,0.0005265,15239515.737201378,17003817.307115316,15483737.318715798
370,0.01304389,14273802.640444936,15641253.002609314,15325658.200144505
371,0.00351476,16155981.767851755,15559428.742109803,15571340.324981688
372,0.00107777,16473408.357878074,16777823.238975566,17700125.480616823
373,0.02946126,15727065.021583516,15651370.49534858,17730818.155307338
374,0.00096272,15249615.426023819,16845669.72753648,15147065.33841984
375,0.00052877,15909176.712202635,17793696.011021633,15448635.690130878
376,0.00225192,16174413.383024732,16820522.584216624,15294463.454507748
377,0.39893407,14114478.163613621,16985614.927939203,15448655.043898333
378,0.42492934,14658495.877719106,14460168.239819812,13047302.514436219
379,0.00026926,14590400.133053731,15366238.69116047,15470263.636585604
380,0.01716069,15238500.205969732,16578779.6099535,12496119.415944163
381,0.00547067,14756155.470332831,12857190.249997258,12797236.068214772
382,0.00209149,17110391.60293247,15684343.844667912,13051901.39530182
383,0.00540774,17925024.720519368,16537951.074554918,15449667.039188974
384,0.00051241,15806489.499488434,15705403.866828589,12909491.35384243
385,0.00021865,15956836.841503803,17036485.16450663,12645091.80509715
386,0.00063989,13112683.275697801,16809806.83719284,15428164.665765597
387,0.04733377,15600854.919743517,16809569.383596428,12808575.639732553
388,0.00024171,15323369.803304682,18195435.046942092,17817601.260144874
389,0.00397288,16404338.839594759,18100903.823901437,12792473.687354002
390,0.00212353,17240114.245604847,16809568.537036348,7995193.00203053
391,0.00026435,16012192.795278288,14838878.349981815,12957376.653540315
392,0.00124452,15452663.834427582,15793696.164461054,12781474.462637592
393,0.00017963,14636911.791775268,18365122.861552373,12734386.993475523
394,0.0002557,11785103.812151467,17014058.738140713,13130807.657650474
395,0.00014025,11772881.26860927,18301228.273001257,12924408.997192739
396,0.00032593,11543177.573482396,15606550.800395537,15625988.745783396
397,0.00015125,14531702.994093563,15383809.689310845,15581505.79347918
398,0.00026729,14400414.117859768,10273772.300030548,18142111.276358254
399,0.00027144,14112510.259879041,9031794.321866363,12854091.49155345
400,0.0001694,14565290.573121343,10375728.761128746,10315897.000132533
401,0.00059336,15129995.072165439,10166759.459955823,10213430.179807998
402,7.728e-05,14018310.70781811,10049148.866825096,10496126.67581584
403,0.00110031,13161328.228938138,11286318.622588791,10496126.7121487
404,0.00026485,13127436.44737918,11656882.037147412,10319178.668627856
405,0.00034853,13695051.70511081,11279841.680231325,7991402.269330726
406,0.00025573,13549792.913053058,11606525.582435003,7881484.990179848
407,0.04822698,13993589.386696735,16738252.038766414,10381434.27707953
408,0.00036329,12821275.324799534,15492108.352733068,10519312.169288136
409,0.02149404,13161328.228938136,18244970.318574194,15047302.877426915
410,0.0010805,13562836.220436357,18372583.019975312,10509376.720712146
411,0.00245037,14358265.083043296,14507983.432978176,12701076.060772985
412,0.00301045,15347851.405058887,13057848.69824123,12830837.017064638
413,0.0012612,14515520.309176568,14667043.5484254,10208837.974629644
414,0.00095086,14899384.526502315,13230463.809853036,10260505.971366772
415,0.00094145,14291704.90707035,12131665.810886024,9868442.799399564
416,0.0458652,14079437.633515386,12392427.684421163,7638890.755655775
417,0.00431774,14764283.988040138,12022714.46362951,12338501.45759026
418,0.00027816,13683364.875801546,13128378.733121347,12654818.836790321
419,0.00040905,14083860.628102154,13331004.96914256,10183457.116104327
420,0.00800748,14124473.940242235,11904809.492060628,12341311.271871446
421,0.00099247,14943234.455963291,11095286.341266558,12710324.940189121
422,0.00046651,13999268.207481077,11464051.687224792,14970149.788103197
423,0.00196514,15970627.4463032,13251469.492584812,12585891.051403139
424,0.0008942,14906156.368925143,13170824.359120155,10194686.209726129
425,0.00867883,13911355.169430139,12587348.842148889,9898060.763153527
426,0.00393628,15741224.530009221,12545237.212152053,7399540.014923738
427,0.0014537,16290885.106468454,13056028.492988368,9929192.18480915
428,0.01710653,14163216.512489285,11414164.789626706,7171385.339000365
429,0.00126905,14886943.601757849,12840068.455733396,7359531.775838336
430,0.00073113,14414969.275732204,13936553.83245005,9996498.487602863
431,0.00270376,14572535.2491044,17380997.187829506,10111518.205990957
432,0.28011232,13765511.300068988,13864417.130395707,7626934.96940892
433,0.13037426,12988985.061045801,12581383.117246555,7653605.196929165
434,0.10462633,14962156.200783156,14084416.940016005,7626703.6673051305
435,0.02358653,14911637.573310476,14041586.08336484,7338038.47022705
436,0.01474302,15641007.26704269,15397666.069727786,7367482.3896851605
437,0.00341057,13844126.716798246,17041824.626013182,7673430.878311817
438,0.00593669,12979193.10131906,16665607.344340065,7353511.099388122
439,0.00090669,15858242.821268806,16731716.828554483,7638578.601700496
440,0.00091527,16194832.07529932,13876344.51274189,7615548.73563407
441,0.00188447,17049917.42064491,11709605.39982859,7462138.699580053
442,0.22386187,15204527.725251477,11781281.777028395,10163470.69270804
443,0.00050925,15031710.745346813,11590291.134913146,7644759.185364808
444,0.00447521,15312376.424331617,12857190.249997253,7151202.156914938
445,0.00364093,14595907.852868555,11904809.687827623,7638225.7968678195
446,0.00060855,14021227.941871412,11322845.333433729,7629235.221706104
447,0.00089402,12920752.128326245,12920682.299820812,7473655.84849911
448,0.00028251,14508399.067048118,11725516.888164144,7570003.913482579
449,0.00032897,15516167.630427733,12927171.584341185,9996308.89685213
450,0.00020306,15516167.630427733,14349443.307598837,7670799.844013923
451,0.0004603,16560571.197041577,14509731.444110993,7650956.776561663
452,0.00041032,23999543.09742196,15497550.934371002,7573059.862508627
453,0.00050112,15774232.246713128,15524389.842895733,10066100.060134728
454,0.00061433,15439885.854630467,16697692.961318962,10062039.942206817
455,0.00020713,15812024.245716207,16863670.92614625,7660582.235051069
456,0.00131153,15822006.284625322,17750505.522762053,7653603.695862654
457,0.00020948,15680644.14670996,16777824.192678362,7653605.438904492
458,0.0011268,17115782.797406442,15312289.974149412,7686967.4395874515
459,0.00068932,16656996.978004694,11735894.77800434,7603667.147955942
460,0.0006706,14562188.29050827,13013895.863077259,7736459.498286278
461,0.00036097,15177301.670605943,11793804.751926575,7725904.964006864
462,0.04305092,14220227.562654387,11856540.598335233,7962139.153491082
463,0.00032621,13440667.286608469,13132049.901383966,4993037.076541166
464,0.01591698,13288327.07119899,12812465.123340487,7418852.963703811
465,0.00087166,12405278.164155778,12988894.6447447,10112739.824664947
466,0.00322921,13728955.573449831,11953210.010594347,10014885.233173095
467,0.00239401,13424500.75253734,12411951.05650967,12643216.94637566
468,0.00180538,13538926.987597557,13889518.463525645,5126567.566632358
469,0.00106157,13376464.457660653,14077957.995494701,5134440.083224157
470,0.00068113,14332416.13725587,14027838.316292789,10248274.585803151
471,0.03461794,13325512.566181423,13856933.896249987,10234760.692803865
472,0.00579147,13841963.736138817,12753379.169769663,9813571.123387037
473,0.00026406,14533902.024739366,14024704.364137959,7520332.412332846
474,0.00048865,15290360.250789734,16404551.003857097,7661314.974065838
475,0.00568983,15064783.856694415,16854485.563677534,7380665.641054169
476,0.00126071,14797110.550256835,17047663.87301509,7652118.932063732
477,0.00053593,14483908.864213288,15472010.130594697,7667618.008857986
478,0.0019339,14764743.19847286,16876686.671026293,7520636.548628748
479,0.00109454,14600109.97698879,16683962.248095747,10029860.194266912
480,0.00799858,15127540.688759353,15428616.857141647,7362314.167700622
481,0.00495052,15499278.671839183,15166954.492061667,7776490.55075482
