source_csv,curve_id,regime,control,llm_seed,n_star_trace_max,n_peak_abs_d2,max_abs_d2_tr_dn2,n_peak_max_d2,max_d2_tr_dn2,n_peak_min_d2,min_d2_tr_dn2,abs_delta_peak_abs_to_nstar,method,smooth_sg
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_none.csv,fisher_metric_factual_p0_seed42_none,factual,none,42,384.0,224.0,-862.3685848723599,192.0,223.420656154276,224.0,-862.3685848723599,160.0,spline,7
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_random_uniform.csv,fisher_metric_factual_p0_seed42_random_uniform,factual,random_uniform,42,32.0,224.0,86.57924610562162,224.0,86.57924610562162,192.0,-22.430567381838074,192.0,spline,7
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_shuffled.csv,fisher_metric_factual_p0_seed42_shuffled,factual,shuffled,42,224.0,224.0,-9.074563472417843,192.0,2.3510527030845854,224.0,-9.074563472417843,0.0,spline,7
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_none.csv,fisher_metric_mathematical_p0_seed42_none,mathematical,none,42,1536.0,224.0,4.656907662020532,224.0,4.656907662020532,192.0,-1.2065154585420172,1312.0,spline,7
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_random_uniform.csv,fisher_metric_mathematical_p0_seed42_random_uniform,mathematical,random_uniform,42,32.0,224.0,8.066999564249643,224.0,8.066999564249643,192.0,-2.089962289970032,192.0,spline,7
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_shuffled.csv,fisher_metric_mathematical_p0_seed42_shuffled,mathematical,shuffled,42,32.0,224.0,-0.08312839092550553,192.0,0.0215374785478363,224.0,-0.08312839092550553,192.0,spline,7
