source_csv,curve_id,regime,control,llm_seed,n_star_trace_max,n_peak_abs_d2,max_abs_d2_tr_dn2,n_peak_max_d2,max_d2_tr_dn2,n_peak_min_d2,min_d2_tr_dn2,abs_delta_peak_abs_to_nstar,method,smooth_sg
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_none.csv,fisher_metric_factual_p0_seed42_none,factual,none,42,384.0,384.0,-15719.972725316025,320.0,10507.113660119297,384.0,-15719.972725316025,0.0,spline,
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_random_uniform.csv,fisher_metric_factual_p0_seed42_random_uniform,factual,random_uniform,42,32.0,48.0,5046.46777576333,48.0,5046.46777576333,80.0,-2545.0726767572005,16.0,spline,
results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_shuffled.csv,fisher_metric_factual_p0_seed42_shuffled,factual,shuffled,42,224.0,224.0,-407.0300484608276,192.0,285.1538671327766,224.0,-407.0300484608276,0.0,spline,
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_none.csv,fisher_metric_mathematical_p0_seed42_none,mathematical,none,42,1536.0,112.0,-476.2074269090564,128.0,307.71114317125847,112.0,-476.2074269090564,1424.0,spline,
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_random_uniform.csv,fisher_metric_mathematical_p0_seed42_random_uniform,mathematical,random_uniform,42,64.0,64.0,-29105.70504373205,80.0,20896.218095643642,64.0,-29105.70504373205,0.0,spline,
results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_shuffled.csv,fisher_metric_mathematical_p0_seed42_shuffled,mathematical,shuffled,42,48.0,48.0,-2706.4703017678466,64.0,1940.5078022348207,48.0,-2706.4703017678466,0.0,spline,
