layer,regime_a,regime_b,cohens_d,abs_d
early,factual,mathematical,3.737881473906297,3.737881473906297
early,factual,creative,0.8520971556813546,0.8520971556813546
early,mathematical,creative,-3.865045529619576,3.865045529619576
mid,factual,mathematical,1.2925245558552163,1.2925245558552163
mid,factual,creative,0.6295719998599344,0.6295719998599344
mid,mathematical,creative,-1.1817830076782532,1.1817830076782532
late,factual,mathematical,1.7567307374814753,1.7567307374814753
late,factual,creative,-1.738554251292654,1.738554251292654
late,mathematical,creative,-2.9528959788509037,2.9528959788509037
