layer,regime,n,mean,std,median,min,max
early,factual,224,773.588541617042,155.23198146985158,770.7855893411944,481.3469777261057,1142.45942343435
early,mathematical,224,330.999865340747,62.794352938043396,344.67883448446946,211.18365724625127,457.1304370510963
early,creative,224,661.2594953270002,103.2449593571011,656.6181768601941,418.8446211045788,898.1505609327747
mid,factual,224,9946.128177888933,4646.662626824157,8345.66310562626,5009.764349168347,23259.42136702999
mid,mathematical,224,5598.612614240515,1017.805397656209,5684.908541771673,3787.280171055947,7438.57783360635
mid,creative,224,7650.7304969910665,2234.871971826584,7182.049235682334,3761.160904422883,14005.798960039692
late,factual,224,211953.5167869181,23996.713675602954,209355.7200100806,165380.02356350806,264567.4372479839
late,mathematical,224,175944.27258469543,16262.944326376028,176254.2094254032,129749.1808845766,215186.26864919355
late,creative,224,273167.0746097125,43629.92089778492,273115.33089717745,181298.17943548388,385647.32610887097
