source,substrate_detail,topology,q_label,regime,control,llm_seed,backend,n_star_trace_max,n_curv_abs_d2_peak,max_abs_d2_tr_dn2,n_star_over_n_curv,reliable_curvature,file
ibm,ibm_marrakesh_ghz_5q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.010064232138564208,1.25,False,ibm_marrakesh_ghz_5q_40960shots.txt
ibm,ibm_marrakesh_ghz_10q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.006266373867472455,1.25,False,ibm_marrakesh_ghz_10q_40960shots.txt
ibm,ibm_marrakesh_ghz_20q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.003662972921694053,1.25,False,ibm_marrakesh_ghz_20q_40960shots.txt
ibm,ibm_marrakesh_hadamard_1q_40960shots.txt,,,,,,marrakesh,32000.0,32000.0,0.011448868771951674,1.0,False,ibm_marrakesh_hadamard_1q_40960shots.txt
ibm,ibm_marrakesh_hadamard_5q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.237988016751905e-06,0.5,False,ibm_marrakesh_hadamard_5q_40960shots.txt
ibm,ibm_marrakesh_hadamard_10q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.777155354747181e-06,0.5,False,ibm_marrakesh_hadamard_10q_40960shots.txt
ibm,ibm_marrakesh_hadamard_20q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.1004581082300749e-06,0.5,False,ibm_marrakesh_hadamard_20q_40960shots.txt
ibm,ibm_marrakesh_identity_10q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,1.4694973265516897,1.25,True,ibm_marrakesh_identity_10q_40960shots.txt
ibm,ibm_marrakesh_identity_20q_40960shots.txt,,,,,,marrakesh,40000.0,8000.0,0.027987422203396298,5.0,False,ibm_marrakesh_identity_20q_40960shots.txt
ibm,ibm_marrakesh_layers_10q_40960shots.txt,,,,,,marrakesh,1000.0,4000.0,2.0772208276083138e-07,0.25,False,ibm_marrakesh_layers_10q_40960shots.txt
ibm,ibm_marrakesh_layers_20q_40960shots.txt,,,,,,marrakesh,2000.0,2000.0,2.6002723166216816e-07,1.0,False,ibm_marrakesh_layers_20q_40960shots.txt
ibm,ibm_torino_ghz_5q_40960shots.txt,,,,,,torino,40000.0,16000.0,0.008912910034373918,2.5,False,ibm_torino_ghz_5q_40960shots.txt
ibm,ibm_torino_ghz_10q_40960shots.txt,,,,,,torino,40000.0,32000.0,0.0026307920786651584,1.25,False,ibm_torino_ghz_10q_40960shots.txt
ibm,ibm_torino_ghz_20q_40960shots.txt,,,,,,torino,40000.0,32000.0,0.005099417646616091,1.25,False,ibm_torino_ghz_20q_40960shots.txt
ibm,ibm_torino_hadamard_1q_40960shots.txt,,,,,,torino,40000.0,2000.0,0.013454864797721648,20.0,False,ibm_torino_hadamard_1q_40960shots.txt
ibm,ibm_torino_hadamard_5q_40960shots.txt,,,,,,torino,1000.0,2000.0,1.7642880464122116e-06,0.5,False,ibm_torino_hadamard_5q_40960shots.txt
ibm,ibm_torino_hadamard_10q_40960shots.txt,,,,,,torino,1000.0,2000.0,1.807663547380608e-06,0.5,False,ibm_torino_hadamard_10q_40960shots.txt
ibm,ibm_torino_hadamard_20q_40960shots.txt,,,,,,torino,1000.0,2000.0,3.833751849153921e-07,0.5,False,ibm_torino_hadamard_20q_40960shots.txt
ibm,ibm_torino_identity_10q_40960shots.txt,,,,,,torino,40000.0,4000.0,0.014114184107048039,10.0,False,ibm_torino_identity_10q_40960shots.txt
ibm,ibm_torino_identity_20q_40960shots.txt,,,,,,torino,32000.0,32000.0,0.017342804794825275,1.0,False,ibm_torino_identity_20q_40960shots.txt
ibm,ibm_torino_layers_10q_40960shots.txt,,,,,,torino,1000.0,2000.0,1.5162099851280145e-06,0.5,False,ibm_torino_layers_10q_40960shots.txt
ibm,ibm_torino_layers_20q_40960shots.txt,,,,,,torino,1000.0,2000.0,6.387823483643245e-07,0.5,False,ibm_torino_layers_20q_40960shots.txt
