backend,mean_n,std_n,mean_n_per_qubit,std_n_per_qubit,mean_log10_n,std_log10_n
marrakesh,18272.727272727272,16374.31469766542,3838.6363636363635,7046.3941455573895,3.924283525221341,0.6672820147350954
torino,18409.090909090908,16226.24137287835,4827.272727272727,10559.79080371301,3.951649888463521,0.639106971069105
