file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
12q_readout_raw_data.txt,12q,2D_Block,500,19143.646335030026,2.4644283555280376e+16,7328.863187398081,0.0,1.3140866539834442,1.43781761246426
12q_readout_raw_data.txt,12q,2D_Block,1000,64196.33702984209,1.7375528814283972e+16,23285.827215556732,0.11000865235523972,1.4218804905446405,1.2702223296179738
12q_readout_raw_data.txt,12q,2D_Block,2000,441370.67242136894,3.291633188713022e+18,167309.32994338436,0.1087162131407018,1.4363217796071324,1.2703273213243966
12q_readout_raw_data.txt,12q,2D_Block,3000,285556.98538809153,1.6639189507268142e+18,98817.48606302754,0.04077845752558098,1.3797193545667823,1.3558767121726023
12q_readout_raw_data.txt,12q,2D_Block,4000,1630233.5002001093,3.7108052738492295e+20,787448.8334198368,0.9747051102626009,1.3777910494848782,1.3406307441441532
12q_readout_raw_data.txt,12q,2D_Block,5000,5679650.413601739,3.2985445769490106e+22,2040695.956424957,2.05272599896763,1.336652795816262,1.4238772043119323
12q_readout_raw_data.txt,12q,2D_Block,6000,28107039.502405364,8.842390875207055e+20,14180838.116238505,0.7489435605886151,1.1057844802905303,1.6366122305808006
12q_readout_raw_data.txt,12q,2D_Block,7000,9273358.730818115,4.1264763492186957e+18,4744587.012346712,2.1321922667028117,1.397170354608076,1.2552300137574934
12q_readout_raw_data.txt,12q,2D_Block,8000,34403959.97705105,1.195025372729509e+20,17267686.264499195,0.9517763581009905,1.4098736630390545,1.347561582015458
12q_readout_raw_data.txt,12q,2D_Block,9000,334.2713644482536,3170062547.1022897,166.53023359197596,0.39529146252233166,1.2343071015295184,1.4591319832840721
12q_readout_raw_data.txt,12q,2D_Block,10000,1825676654.5510836,9.588786670681545e+19,1825587722.978706,2.256548566721722,1.1513220754350564,1.4859608148181622
12q_readout_raw_data.txt,12q,2D_Block,15000,26512.515553391026,36057620719.02207,26437.280814532765,1.231296210127852,1.7156316081540115,1.0343534529170142
12q_readout_raw_data.txt,12q,2D_Block,20000,76808.679529742,1.614474675246934e+22,28417.891353431838,2.3847535823007293,1.2570214823261663,1.427209904340968
12q_readout_raw_data.txt,12q,2D_Block,30000,57871.94937036542,387356539021694.94,55038.34962735122,1.2616910072472585,1.049935082402281,1.478437288802952
12q_readout_raw_data.txt,12q,2D_Block,40000,565.2541291631248,200677494070.9372,242.62673805660287,2.1471289674188476,1.2871093073101076,1.2827787830999569
14q_readout_raw_data.txt,14q,1D_Snake,500,59129.679856165494,3.2882645085121275e+18,15833.683375456156,0.0,1.4744914413978256,1.3015612608090181
14q_readout_raw_data.txt,14q,1D_Snake,1000,37361.30966751705,9.995229218442373e+17,9810.464837283695,0.03211247013361957,1.36691491250216,1.4883145959762014
