source,fold,n_train,n_test,rmse_logN,mae_logN,ridge_alpha
IBM,0,17,5,0.7450283591024972,0.6292551767690707,0.11937766417144363
IBM,1,17,5,0.4240553616777783,0.37878240945662645,0.18047217668271703
IBM,2,18,4,0.5389925696947382,0.4832718362972954,0.11937766417144363
IBM,3,18,4,0.8995137774676131,0.6760208673238246,0.11937766417144363
IBM,4,18,4,0.820941504271773,0.7103933282971366,0.2728333376486768
