file,q_label,topology,qubits,n_min_filter,status,n_points_used,exp_v_inf,exp_A,exp_tau,exp_rmse,exp_aic,pow_v_inf,pow_a,pow_b,pow_rmse,pow_aic,preferred_model,delta_aic,N_star_grammar,ratio_tau_over_N_star,ratio_tau_over_N_foti_anchor,N_foti_anchor,A_times_tau,alphabet_k,invariant_k_kminus1_pi_half,ratio_A_tau_over_invariant
14q_readout_raw_data.txt,14q,1D_Snake,14,500.0,ok,14,7.224090633177036e-19,0.003421805299891424,25750.93737716447,0.0012603745287395995,-180.9376980003645,6.434444165205673e-18,0.016856563240634653,0.22402389820203789,0.001387426395704519,-178.24853333296687,exp,2.6891646673976197,8500.0,3.029522044372291,3.218867172145559,8000.0,88.11469399435356,9,113.09733552923255,0.779104950457284
18q_readout_raw_data.txt,18q,1D_Snake,18,500.0,ok,14,2.932285339512612e-17,0.0026018837540857185,28665.317512803078,0.0010564464823583405,-185.87964257816049,8.260696241811725e-15,0.011437633593615605,0.2072840674863899,0.0011408808609198959,-183.72672963791854,exp,2.152912940241947,9500.0,3.0174018434529555,3.5831646891003848,8000.0,74.58382394227117,9,113.09733552923255,0.6594657919504505
22q_readout_raw_data.txt,22q,1D_Snake,22,500.0,ok,14,1.0616034466137621e-06,0.0030693883626985202,27974.630945205085,0.0010559343017145107,-185.89322067773082,7.346166209274376e-18,0.01036350986286779,0.17789804488890132,0.0012044966319435051,-182.20741889995216,exp,3.6858017777786642,12500.0,2.237970475616407,3.4968288681506356,8000.0,85.8650066739984,9,113.09733552923255,0.7592133472658571
28q_readout_raw_data.txt,28q,1D_Snake,28,500.0,ok,14,7.079647129382983e-16,0.0038710787989242644,21914.936122722764,0.0012389713677207488,-181.4172660020185,1.4000932961183922e-20,0.03897334280050091,0.3127941453767825,0.0013246552561432992,-179.54488504833358,exp,1.8723809536849103,9500.0,2.3068353813392384,2.7393670153403455,8000.0,84.83444460445162,9,113.09733552923255,0.750101177958558
32q_readout_raw_data.txt,32q,1D_Snake,32,500.0,ok,14,0.0001524867348595274,0.004576762042549425,12101.831882670787,0.0007190025360240319,-196.6540788466606,3.645590421297453e-18,0.08607320980195933,0.4057011185614758,0.0008406523305137941,-192.27730673988188,exp,4.376772106778731,6500.0,1.8618202896416596,1.5127289853338484,8000.0,55.3872048059221,9,113.09733552923255,0.4897304127169825
47q_readout_raw_data.txt,47q,1D_Snake,47,500.0,ok,14,2.284744441374109e-18,0.0038925992351723612,19346.47918912162,0.0009608345593643207,-188.53583291749652,9.228716040197934e-17,0.03625452068454502,0.30842227428758123,0.0011050660710324274,-184.61980428429152,exp,3.916028633205002,12500.0,1.5477183351297295,2.4183098986402025,8000.0,75.30809009485282,9,113.09733552923255,0.6658697107447571
49q_readout_raw_data.txt,49q,1D_Snake,49,500.0,ok,14,1.9037866097096944e-14,0.004561375676724216,14189.472140145495,0.001187968277043266,-182.59430131426484,3.34121756202966e-21,0.11285332831275523,0.43758542992926264,0.001208155858559029,-182.1224846425731,exp,0.4718166716917267,17500.0,0.8108269794368854,1.773684017518187,8000.0,64.72351308561556,9,113.09733552923255,0.5722815023249271
12q_readout_raw_data.txt,12q,2D_Block,12,500.0,ok,14,8.907789386744842e-19,0.0024410117948866425,39313.14573865334,0.0012158546190787183,-181.94462565940088,8.156282824222088e-05,0.004297671724972236,0.09876752066867334,0.001299180901995122,-180.08859607755002,exp,1.856029581850862,9500.0,4.138225867226667,4.9141432173316675,8000.0,95.96385244215034,9,113.09733552923255,0.8485067485727489
16q_readout_raw_data.txt,16q,2D_Block,16,500.0,ok,14,8.288186162835617e-20,0.0028674696013430982,32615.996036323202,0.0013494329450074037,-179.02598283424854,7.433340815858102e-16,0.006226800561973332,0.12281533787581692,0.0014636805498248768,-176.75043054588414,exp,2.275552288364395,17500.0,1.8637712020756116,4.0769995045404,8000.0,93.52537715168377,9,113.09733552923255,0.8269458932346822
20q_readout_raw_data.txt,20q,2D_Block,20,500.0,ok,14,1.0328750460686624e-17,0.003577667660439587,27814.11656983233,0.001394183204296861,-178.11250345106322,6.458751477300388e-17,0.012550313399527906,0.18251932536044294,0.0015465347884074706,-175.2086771925725,exp,2.90382625849071,8500.0,3.272249008215568,3.4767645712290416,8000.0,99.50966535558598,9,113.09733552923255,0.8798586181534354
