data_source,file,q_label,topology,n_points,ricci_ambient,log_det_fisher,fisher_speed_dn
measured,18q_readout_raw_data.txt,18q,1D_Snake,30000,,129.7177800957823,0.00024195941575290276
measured,18q_readout_raw_data.txt,18q,1D_Snake,40000,,281.3032032443964,0.0003057884186684686
measured,20q_readout_raw_data.txt,20q,2D_Block,500,,535.2372889364963,
measured,20q_readout_raw_data.txt,20q,2D_Block,1000,,560.0529869061395,0.002033894825044896
measured,20q_readout_raw_data.txt,20q,2D_Block,2000,,575.0948713291792,0.0005951099577496646
measured,20q_readout_raw_data.txt,20q,2D_Block,3000,,576.8349660067287,0.0007615515454176861
measured,20q_readout_raw_data.txt,20q,2D_Block,4000,,554.2217540438461,0.002536869503842717
measured,20q_readout_raw_data.txt,20q,2D_Block,5000,,437.81969942683475,0.0032959090703037434
measured,20q_readout_raw_data.txt,20q,2D_Block,6000,,583.7330536829468,0.0035241081061703735
measured,20q_readout_raw_data.txt,20q,2D_Block,7000,,276.47340216334567,0.004197806083939197
measured,20q_readout_raw_data.txt,20q,2D_Block,8000,,473.7266486340008,0.003818385512073412
measured,20q_readout_raw_data.txt,20q,2D_Block,9000,,456.6336131317864,0.0024105423401393497
measured,20q_readout_raw_data.txt,20q,2D_Block,10000,,542.5275066538691,0.0025047045299768475
measured,20q_readout_raw_data.txt,20q,2D_Block,15000,,141.07618050810214,0.000883637391750255
measured,20q_readout_raw_data.txt,20q,2D_Block,20000,,134.04642461970292,0.0007074245801090112
measured,20q_readout_raw_data.txt,20q,2D_Block,30000,,138.00708403187636,0.0003045757207724916
measured,20q_readout_raw_data.txt,20q,2D_Block,40000,,149.6719473573149,0.00027476309215319043
measured,22q_readout_raw_data.txt,22q,1D_Snake,500,,456.9210183449657,
measured,22q_readout_raw_data.txt,22q,1D_Snake,1000,,419.1008296308718,0.002935445231356813
measured,22q_readout_raw_data.txt,22q,1D_Snake,2000,,433.68656670264096,0.0010504348911435115
measured,22q_readout_raw_data.txt,22q,1D_Snake,3000,,463.6676388298597,0.0009083788427602735
measured,22q_readout_raw_data.txt,22q,1D_Snake,4000,,656.7502992594242,0.0028140356342010574
measured,22q_readout_raw_data.txt,22q,1D_Snake,5000,,551.6838948519212,0.0031467837486744967
measured,22q_readout_raw_data.txt,22q,1D_Snake,6000,,682.1829411081012,0.0033264220443295356
measured,22q_readout_raw_data.txt,22q,1D_Snake,7000,,395.424925635836,0.0036467249005405233
measured,22q_readout_raw_data.txt,22q,1D_Snake,8000,,503.2312875841597,0.0034877644575994704
measured,22q_readout_raw_data.txt,22q,1D_Snake,9000,,521.0910584824459,0.0009742615067383223
measured,22q_readout_raw_data.txt,22q,1D_Snake,10000,,389.73393723611815,0.0022310969377471817
measured,22q_readout_raw_data.txt,22q,1D_Snake,15000,,317.72209222833453,0.0008112400158362126
measured,22q_readout_raw_data.txt,22q,1D_Snake,20000,,184.4546147839881,0.0008836924697956415
measured,22q_readout_raw_data.txt,22q,1D_Snake,30000,,156.70622787787022,0.0003170199039624156
measured,22q_readout_raw_data.txt,22q,1D_Snake,40000,,124.8439062263772,0.00031651296107428707
measured,24q_readout_raw_data.txt,24q,2D_Block,500,,568.9701094952995,
measured,24q_readout_raw_data.txt,24q,2D_Block,1000,,332.4673519171653,0.007857179330023029
measured,24q_readout_raw_data.txt,24q,2D_Block,2000,,275.3125117750948,0.0015073205138454104
measured,24q_readout_raw_data.txt,24q,2D_Block,3000,,275.29797236080856,0.001173203359698407
measured,24q_readout_raw_data.txt,24q,2D_Block,4000,,644.7080742080441,0.003921105814890969
measured,24q_readout_raw_data.txt,24q,2D_Block,5000,,543.7528664802003,0.0016225836017902692
measured,24q_readout_raw_data.txt,24q,2D_Block,6000,,546.8136146623259,0.0016061602644580212
measured,24q_readout_raw_data.txt,24q,2D_Block,7000,,385.93500266481755,0.0036107179667521955
measured,24q_readout_raw_data.txt,24q,2D_Block,8000,,514.9971537826644,0.0038140451508192077
measured,24q_readout_raw_data.txt,24q,2D_Block,9000,,398.2351771453058,0.0019185059012537793
measured,24q_readout_raw_data.txt,24q,2D_Block,10000,,177.69047512141853,0.0033061734926723907
measured,24q_readout_raw_data.txt,24q,2D_Block,15000,,383.7327970406406,0.0006632090697707289
measured,24q_readout_raw_data.txt,24q,2D_Block,20000,,155.4224066606987,0.0007387455521917973
measured,24q_readout_raw_data.txt,24q,2D_Block,30000,,142.99922229664787,0.00033860264738368385
measured,24q_readout_raw_data.txt,24q,2D_Block,40000,,145.32769471075807,0.0003011306862786879
measured,26q_readout_raw_data.txt,26q,Bulk_Full,500,,424.52097132561846,
measured,26q_readout_raw_data.txt,26q,Bulk_Full,1000,,417.95891732192007,0.003106855183298382
measured,26q_readout_raw_data.txt,26q,Bulk_Full,2000,,424.7390225269501,0.0010290522792518264
measured,26q_readout_raw_data.txt,26q,Bulk_Full,3000,,437.27509799416043,0.0006907070686451503
measured,26q_readout_raw_data.txt,26q,Bulk_Full,4000,,645.8342349707124,0.0028412161853115093
