source,backend_group,regime_family,Q,N_star,logN,logN_pred_loo,N_pred_loo,abs_err_log,ape_pct
IBM,marrakesh,GHZ,10,36000.0,10.491274217438248,10.44176370454111,34261.025508382365,0.049510512897137815,4.830484698937875
IBM,marrakesh,GHZ,20,36000.0,10.491274217438248,9.718755638981682,16626.54243028023,0.772518578456566,53.815159915888245
IBM,marrakesh,GHZ,5,36000.0,10.491274217438248,11.159671959559413,70239.91088308564,0.6683977421211651,95.11086356412677
IBM,marrakesh,HadamardLayers,10,1500.0,7.313220387090301,7.753722589255037,2330.2307809084214,0.440502202164736,55.34871872722809
IBM,marrakesh,HadamardLayers,1,24000.0,10.085809109330082,8.965853753740605,7831.064676415166,1.119955355589477,67.37056384827014
IBM,marrakesh,HadamardLayers,20,1500.0,7.313220387090301,7.047945516825039,1150.4926452792442,0.2652748702652623,23.300490314717052
IBM,marrakesh,HadamardLayers,5,1500.0,7.313220387090301,8.39136996144087,4408.853518183008,1.0781495743505678,193.92356787886723
IBM,marrakesh,Identity,10,36000.0,10.491274217438248,10.380090694872319,32211.882811568295,0.11118352256592878,10.522547745643623
IBM,marrakesh,Identity,20,24000.0,10.085809109330082,9.788552727725893,17828.484815152533,0.2972563816041891,25.71464660353111
IBM,torino,GHZ,10,36000.0,10.491274217438248,10.54078473033539,37827.23899151608,0.049510512897143144,5.075663865322451
IBM,torino,GHZ,20,36000.0,10.491274217438248,9.822876475317138,18451.04846669389,0.66839774212111,48.747087592516976
IBM,torino,GHZ,5,36000.0,10.491274217438248,11.263792795894869,77947.65540908852,0.7725185784566211,116.5212650252459
IBM,torino,HadamardLayers,10,1500.0,7.313220387090301,7.850822008892166,2567.844240327304,0.5376016218018647,71.18961602182026
IBM,torino,HadamardLayers,1,36000.0,10.491274217438248,8.807917829752311,6686.9813279048185,1.6833563876859365,81.42505186693107
IBM,torino,HadamardLayers,20,3000.0,8.006367567650246,6.850472468594813,944.3269661234675,1.1558950990554333,68.52243446255108
IBM,torino,HadamardLayers,5,1500.0,7.313220387090301,8.485481746644336,4843.930450208533,1.1722613595540343,222.9286966805689
IBM,torino,Identity,10,24000.0,10.085809109330082,10.67905972985698,43436.68892301828,0.5932506205268986,80.9862038459095
IBM,torino,Identity,20,24000.0,10.085809109330082,9.900998392973303,19950.27871652003,0.18481071635677893,16.873838681166536
Sycamore,sycamore,SycamoreRandom,26,6500.0,8.779557455883728,8.562687541879278,5232.725460510348,0.21686991400444988,19.496531376763876
Sycamore,sycamore,SycamoreRandom,14,8500.0,9.047821442478408,9.14829865421928,9398.43677803162,0.10047721174087165,10.56984444743083
Sycamore,sycamore,SycamoreRandom,12,9500.0,9.159047077588632,9.271449053068455,10630.144374796493,0.11240197547982334,11.896256576805191
