file,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
14q_readout_raw_data.txt,1D_Snake,500,59129.679856165494,3.2882645085121275e+18,15833.683375456156,0.0,1.4744914413978256,1.3015612608090181
14q_readout_raw_data.txt,1D_Snake,1000,37361.30966751705,9.995229218442373e+17,9810.464837283695,0.03211247013361957,1.36691491250216,1.4883145959762014
14q_readout_raw_data.txt,1D_Snake,2000,269775.98563464236,2.2585392236372078e+21,82601.9067547087,0.0069425276103702626,1.3872312747875577,1.4486157134662168
14q_readout_raw_data.txt,1D_Snake,3000,460467.6097222354,1.324044862218395e+22,118435.08924265896,0.008184814962442577,1.4391282564243795,1.3649951335731705
14q_readout_raw_data.txt,1D_Snake,4000,145184.03848568114,1.7738463024898326e+17,73516.59924222573,1.343709474060068,1.474732818726254,1.3106469435240877
14q_readout_raw_data.txt,1D_Snake,5000,3638239.3476700787,9.680742537364536e+22,1385338.392099034,3.38013631009893,1.4140785290455393,1.4015959306378885
14q_readout_raw_data.txt,1D_Snake,6000,1798875.7986910087,1.3241473407392424e+24,646105.9992372439,2.935624930336426,1.574385712338115,1.2542907200977371
14q_readout_raw_data.txt,1D_Snake,7000,382328096.7011984,9.595140405442776e+27,224448286.83588868,3.5800851835543126,0.9704076241990662,1.7480896969084314
14q_readout_raw_data.txt,1D_Snake,8000,27593527.07425514,2.3647646160739776e+16,27591856.911353465,1.3226235702970734,1.3413834219123353,1.3131679987389926
14q_readout_raw_data.txt,1D_Snake,9000,1677999395.6631477,4.384740101317322e+19,1677987708.3879776,0.748591326112878,1.1533033869634945,1.400337665519117
14q_readout_raw_data.txt,1D_Snake,10000,217086426.66121033,3.501911246219611e+18,217084745.2130907,8.612177032424325,1.231350973253582,1.3143654121581547
14q_readout_raw_data.txt,1D_Snake,15000,220.82835628396256,273775308.31075263,109.8840615410914,1.5380948251624582,1.573870849552026,1.0452847628321489
14q_readout_raw_data.txt,1D_Snake,20000,1185.6621279388442,19880855596837.016,592.0119417391163,0.8231271177134122,1.094116617850449,1.4963792653582957
14q_readout_raw_data.txt,1D_Snake,30000,14018.522605600345,132191321978514.48,12796.668042328605,0.4500331478594802,1.2674138061247144,1.3715180030751184
14q_readout_raw_data.txt,1D_Snake,40000,1369.4416993662155,120732860850.88777,741.8717585862673,2.3719082378947567,1.0320296071753547,1.5753091795852052
12q_readout_raw_data.txt,2D_Block,500,19143.646335030026,2.4644283555280376e+16,7328.863187398081,0.0,1.3140866539834442,1.43781761246426
12q_readout_raw_data.txt,2D_Block,1000,64196.33702984209,1.7375528814283972e+16,23285.827215556732,0.11000865235523972,1.4218804905446405,1.2702223296179738
12q_readout_raw_data.txt,2D_Block,2000,441370.67242136894,3.291633188713022e+18,167309.32994338436,0.1087162131407018,1.4363217796071324,1.2703273213243966
