file,n_samples,val_loss,perplexity
ibm_torino_ghz_10q_40960shots.txt,40960,1.3356204765370754,3.8023544863786896
ibm_torino_ghz_20q_40960shots.txt,40960,1.7593314438664105,5.808552752426758
ibm_torino_ghz_5q_40960shots.txt,40960,0.8426745819947442,2.322570582518448
ibm_torino_hadamard_10q_40960shots.txt,40960,1.9614509604103638,7.10963538434142
ibm_torino_hadamard_1q_40960shots.txt,40960,0.6916459959094442,1.9969998831271083
ibm_torino_hadamard_20q_40960shots.txt,40960,1.9671836746510092,7.150509941491188
ibm_torino_hadamard_5q_40960shots.txt,40960,1.945776872380024,6.9990671254395656
ibm_torino_identity_10q_40960shots.txt,40960,0.5873029491474152,1.7991295221904213
ibm_torino_identity_20q_40960shots.txt,40960,0.9131049248071305,2.492048155579029
ibm_torino_layers_10q_40960shots.txt,40960,1.9760027099035744,7.213849426795377
ibm_torino_layers_20q_40960shots.txt,40960,1.9635773406407662,7.124769256949507
