fold,n_train,n_test,rmse_logN,mae_logN
0,40,10,0.5175757559790157,0.42318671313402645
1,40,10,0.8093023201119186,0.6459756507721608
2,40,10,0.9289654059285737,0.6065688726704048
3,40,10,0.8037237635424055,0.6364432966788829
4,40,10,0.8336539837282736,0.7008380990904296
