file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
12q_readout_raw_data.txt,12q,2D_Block,500,73577.25187473418,2.840502022580462e+24,22769.379453888818,0.0,1.6361450165918874,1.4448405821697365
12q_readout_raw_data.txt,12q,2D_Block,1000,75072.61324440097,5.301819659041758e+23,23431.42120820156,0.052521178778194136,1.7045032576999022,1.3465220267768836
12q_readout_raw_data.txt,12q,2D_Block,2000,383742.52385095885,2.7651567366917746e+27,122009.09422641828,0.0392903079993501,1.650678425165188,1.446893183845584
12q_readout_raw_data.txt,12q,2D_Block,3000,1246884.4327692504,1.7879263606075568e+30,420373.3189360378,0.042780131845278256,1.5665830434657357,1.6023229123542864
12q_readout_raw_data.txt,12q,2D_Block,4000,3510453.3430539584,1.6729444572530833e+27,1436538.133126736,1.1813889094566408,1.320476446062492,1.713235291795757
12q_readout_raw_data.txt,12q,2D_Block,5000,12917598.863374636,6.787330990053074e+28,6976304.320908617,1.233026790919181,1.336857323542491,1.7411181785170569
12q_readout_raw_data.txt,12q,2D_Block,6000,18045320.846779235,1.684206804559014e+30,6688889.277869585,0.5021055624311326,1.6172736141413488,1.5490025862779866
12q_readout_raw_data.txt,12q,2D_Block,7000,4221570.950703243,6.877070083721746e+25,1719280.140749611,1.9291711539094125,1.74120984872616,1.2432691082978613
12q_readout_raw_data.txt,12q,2D_Block,8000,177124153.74692833,1.4055179515318388e+27,90326989.48326533,2.6274371064408077,1.4889768441396245,1.5582214879587342
12q_readout_raw_data.txt,12q,2D_Block,9000,22366117.286513943,1.214144456559429e+28,10185615.224753836,1.2139113713011516,1.5006193045673357,1.5348641195829
12q_readout_raw_data.txt,12q,2D_Block,10000,2075670392.824975,2.183188278659359e+26,1116433172.4621687,2.5167758712789543,1.5431440877173823,1.4127891733376632
12q_readout_raw_data.txt,12q,2D_Block,15000,4388.7575282792095,54052490988421.13,4111.612486379224,1.163362875807202,1.8530644042295625,1.2083652550722905
12q_readout_raw_data.txt,12q,2D_Block,20000,33232.86842189201,3.218721172123028e+26,14250.689305540578,1.781347727049642,1.3900315237070855,1.5658149826091103
12q_readout_raw_data.txt,12q,2D_Block,30000,3107.497693390765,4.991171141119539e+18,1674.2703856995022,1.3066214649803642,1.293129344651919,1.5854026692224608
12q_readout_raw_data.txt,12q,2D_Block,40000,2260.224978884184,3.4453142470399812e+16,1586.3414706799501,2.1537930035751933,1.5721263812900357,1.3025908148111802
14q_readout_raw_data.txt,14q,1D_Snake,500,42154.85803635203,1.091294624601492e+23,12906.644061870018,0.0,1.6151690207496807,1.5110469992991684
14q_readout_raw_data.txt,14q,1D_Snake,1000,124584.73944861047,6.710545988430373e+22,37976.582245995145,0.410364062027121,1.583606066992516,1.4743595316140168
14q_readout_raw_data.txt,14q,1D_Snake,2000,765536.6759869946,1.1481247894729095e+26,272903.58917373803,0.04776093551636584,1.6281299024888374,1.3895327503173551
14q_readout_raw_data.txt,14q,1D_Snake,3000,1099647.8383068254,1.1071214602145712e+26,348822.4645536981,0.05136643646421273,1.6602063766666624,1.3622219869206074
