file,kl_ref_to_cur,kl_cur_to_ref,sym_kl,frob_diff,val_loss_ref,val_loss_cur,ppl_ref,ppl_cur,ok
ibm_torino_ghz_10q_40960shots.txt,0.0326804447042035,0.021080492014773848,0.026880468359488673,0.19854615970316863,1.3356204765370754,1.2971932945292433,3.8023544863786896,3.6590124716941177,1
ibm_torino_ghz_20q_40960shots.txt,0.007569869646190284,0.007656307192508473,0.007613088419349379,0.1329221521766416,1.7593314438664105,1.764479235037824,5.808552752426758,5.83853106384636,1
ibm_torino_ghz_5q_40960shots.txt,0.0019481236782170873,0.0018590847578963776,0.0019036042180567325,0.09002080706587041,0.8426745819947442,0.8302795075260483,2.322570582518448,2.293959829702202,1
ibm_torino_hadamard_10q_40960shots.txt,0.00461879693994127,0.00466190971410096,0.004640353327021115,0.09580558813311728,1.9614509604103638,1.957560392048428,7.10963538434142,7.082028599714174,1
ibm_torino_hadamard_1q_40960shots.txt,0.0009020547308724155,0.0009034209718236345,0.0009027378513480251,0.07943942431336373,0.6916459959094442,0.6929868119444853,1.9969998831271083,1.9996792884857981,1
ibm_torino_hadamard_20q_40960shots.txt,0.007260476487664634,0.007716676804912062,0.007488576646288348,0.12048946589412794,1.9671836746510092,1.9542573908744298,7.150509941491188,7.058675240253623,1
ibm_torino_hadamard_5q_40960shots.txt,0.014827768691301462,0.01469830488298524,0.01476303678714335,0.1739745820456841,1.945776872380024,1.9595080816037787,6.9990671254395656,7.095835634392407,1
ibm_torino_identity_10q_40960shots.txt,0.009537138386004262,0.008474293452821496,0.00900571591941288,0.2060055549401151,0.5873029491474152,0.4100385654076061,1.7991295221904213,1.506875897275477,1
ibm_torino_identity_20q_40960shots.txt,0.0027326235318503645,0.002711161282214142,0.0027218924070322534,0.08480418332799369,0.9131049248071305,0.9060662352456905,2.492048155579029,2.474568989615607,1
ibm_torino_layers_10q_40960shots.txt,0.004173775660133852,0.004178917970869845,0.004176346815501849,0.09155173590765338,1.9760027099035744,1.9873405948651053,7.213849426795377,7.296104640661457,1
ibm_torino_layers_20q_40960shots.txt,0.007754406641558568,0.0077848607852709075,0.007769633713414738,0.12337151508925091,1.9635773406407662,1.9613469947753381,7.124769256949507,7.108896265006057,1
