file,q_label,topology,model,abscissa,param_b,param_a,param_k,param_L,param_dU,param_x0,rmse,rmse_over_median_y,n_star_empirical,n_at_max_slope,scale_note
12q_readout_raw_data.txt,12q,2D_Block,logistic,log10_n,,,380.3656937338389,8209021.122477563,181530212.56836116,3.7817307017249657,119518989.46105942,11.914227464689748,10000.0,6049.656300096979,inflection_N
14q_readout_raw_data.txt,14q,1D_Snake,logistic,log10_n,,,20.47154482394312,174341.22896207968,254849740.98938975,3.388790200087724,208540007.1703917,0.9668784269186672,9000.0,2447.88042882805,inflection_N
16q_readout_raw_data.txt,16q,2D_Block,saturating_exp,log10_n,889.4319737897496,111888009.1965436,0.8019207016153965,,,,93133314.61290626,0.6690841659226088,6000.0,7.317433033613584,N_half_sat_in_log10_x
18q_readout_raw_data.txt,18q,1D_Snake,logistic,log10_n,,,22.40999346470057,1978.6683576309588,84404273.2970539,3.6554581608411576,51010792.82521472,1.9840558743156955,10000.0,4523.328832869837,inflection_N
20q_readout_raw_data.txt,20q,2D_Block,logistic,log10_n,,,244.53881589263648,2.6879931342082726,264940571.81200597,3.7801529419709694,309431198.7447891,15.116977624634576,10000.0,6027.71821973033,inflection_N
22q_readout_raw_data.txt,22q,1D_Snake,saturating_exp,log10_n,6.63972408691837e-24,4754929.665033022,0.7791954317427271,,,,3773793.422266219,0.6537944950183173,6000.0,7.754750307970503,N_half_sat_in_log10_x
24q_readout_raw_data.txt,24q,2D_Block,logistic,log10_n,,,65.08304917122398,424.643098119868,635539.9236237608,3.0206213521204237,431289.27300983353,0.7028993057902312,6000.0,1048.6277639752345,inflection_N
26q_readout_raw_data.txt,26q,Bulk_Full,logistic,log10_n,,,110.12388178133,1055.938225149414,3963309.675971589,3.2937325437109726,2643063.063266317,0.6861118627092252,6000.0,1966.6747580073134,inflection_N
28q_readout_raw_data.txt,28q,1D_Snake,logistic,log10_n,,,9.338963621107268,1270.6137757408192,76515.60149749258,2.9266058016338565,53982.370329750425,0.6338220861072391,6000.0,844.5119545429887,inflection_N
30q_readout_raw_data.txt,30q,2D_Block,logistic,log10_n,,,55.91917943291819,445952.9174305364,6170319.369760206,3.9091103746194533,3643366.25258974,7.672812242119063,15000.0,8111.671873284983,inflection_N
32q_readout_raw_data.txt,32q,1D_Snake,logistic,log10_n,,,56.22929861923738,5772483.651631662,79477746.55866568,3.908971632774988,46977214.10697748,7.617282569929229,15000.0,8109.08089270383,inflection_N
34q_readout_raw_data.txt,34q,2D_Block,logistic,log10_n,,,80.4239394656852,5039.027389761732,17170.995084815,1.6509758171164446,15226.452371016883,0.7231581283997496,4000.0,44.76883747846314,inflection_N
36q_readout_raw_data.txt,36q,Bulk_Full,logistic,log10_n,,,29.81492614559907,14230.217596348823,14275.503100287515,3.7733231560331504,13626.091523314404,0.7712027341848248,15000.0,5933.666810984444,inflection_N
38q_readout_raw_data.txt,38q,Bulk_Full,saturating_exp,log10_n,570.0370453038967,33357.441563611246,153.83315150788889,,,,20426.795760095745,0.5449291583975502,4000.0,1.0104290819242674,N_half_sat_in_log10_x
39q_readout_raw_data.txt,39q,2D_Block,saturating_exp,log10_n,1736.4560893815078,18213.927560295066,22.92782862126625,,,,11358.576667012501,0.5384851393741373,4000.0,1.0720911168895053,N_half_sat_in_log10_x
40q_readout_raw_data.txt,40q,2D_Block,logistic,log10_n,,,12.165834661639396,50.809405514760776,17384.79845458677,3.143213796357559,8379.839078445317,0.5291940515644535,6000.0,1390.6370515304448,inflection_N
41q_readout_raw_data.txt,41q,2D_Block,saturating_exp,log10_n,4118.438419183602,13270.987072750704,608.9832035499378,,,,8616.06217958447,0.44463391992606066,4000.0,1.002624249128372,N_half_sat_in_log10_x
42q_readout_raw_data.txt,42q,2D_Block,logistic,log10_n,,,16.415617420767294,442.2624902720878,7406.168284524666,3.588692433763875,3367.059990586448,0.5540336515604822,9000.0,3878.7557621303326,inflection_N
43q_readout_raw_data.txt,43q,2D_Block,logistic,log10_n,,,35.018020244723566,152985.12105932704,689998873.1258756,3.8918531923996933,467187005.68820024,7.962075056995167,15000.0,7795.665436486095,inflection_N
44q_readout_raw_data.txt,44q,2D_Block,saturating_exp,log10_n,1446.8922651271403,23310.165951319195,31.464826229022172,,,,15042.895095423097,0.48494549627281036,3000.0,1.052032777095247,N_half_sat_in_log10_x
45q_readout_raw_data.txt,45q,2D_Block,logistic,log10_n,,,56.00459135711435,652244.0906404791,8894853.217261543,3.9089773487499513,5260068.773873911,7.44115643823514,15000.0,8109.187621226333,inflection_N
46q_readout_raw_data.txt,46q,Bulk_Full,logistic,log10_n,,,77.10326533614135,11248.101770704434,22847.13088277297,4.508475830886035,2865.4229998687456,0.2667481009497578,40000.0,32245.998606922654,inflection_N
47q_readout_raw_data.txt,47q,1D_Snake,saturating_exp,log10_n,1003.0542667565722,23329.626812139464,14.557398159026281,,,,15553.268078210911,0.5992051176842679,4000.0,1.115873004292706,N_half_sat_in_log10_x
48q_readout_raw_data.txt,48q,Bulk_Full,logistic,log10_n,,,51.269022204466545,14790.347439857967,207720.7744289884,3.865388559146783,120086.92805817067,4.661555473795098,15000.0,7334.8047767614935,inflection_N
49q_readout_raw_data.txt,49q,1D_Snake,logistic,log10_n,,,3.138319190198108,574.2692948330778,6481.223191407362,1.8685892362672243,3048.84196759584,0.46210957681356213,15000.0,73.89060734559848,inflection_N
50q_readout_raw_data.txt,50q,2D_Block,logistic,log10_n,,,34.18082814980613,146364.52772506897,636083009.368911,3.8919525903538417,430777027.1883226,7.695921705432658,15000.0,7797.449852149093,inflection_N
51q_readout_raw_data.txt,51q,Bulk_Full,logistic,log10_n,,,12.32359511470927,253.5561503329007,15882.290443921347,3.475478827871656,5111.573442167133,0.3430792359541459,20000.0,2988.6759435813547,inflection_N
53q_readout_raw_data.txt,53q,Bulk_Full,logistic,log10_n,,,8.667894469763773,1109.4540510027816,5684.07815215049,2.649562873797912,3954.156422772044,0.5727415818724677,4000.0,446.23422224609885,inflection_N
