platform,n,ward_k3_purity,frobenius_mean_same_regime,frobenius_mean_diff_regime
IBM_marrakesh_torino,22,0.681818,0.59590891,1.1709261
Sycamore_readout,28,0.535714,1.5384025,1.5749336
