file,n_qubits,mean_abs_marginal_dp,max_abs_marginal_dp,tv_hamming,js_hamming
ibm_torino_ghz_10q_40960shots.txt,10,0.006123046874999999,0.015722656249999967,0.03618164062500001,0.035260726863687995
ibm_torino_ghz_20q_40960shots.txt,20,0.016813964843749994,0.04558105468750001,0.0813232421875,0.07515154723145247
ibm_torino_ghz_5q_40960shots.txt,5,0.0070800781249999774,0.023242187499999956,0.023120117187500025,0.031921750916420175
ibm_torino_hadamard_10q_40960shots.txt,10,0.0060839843750000126,0.031103515624999967,0.005664062500000009,0.0066631459350493276
ibm_torino_hadamard_1q_40960shots.txt,1,0.03696289062499997,0.03696289062499997,0.03696289062499997,0.02613980016398433
ibm_torino_hadamard_20q_40960shots.txt,20,0.005798339843750003,0.040893554687499944,0.017016601562500015,0.014286145941676999
ibm_torino_hadamard_5q_40960shots.txt,5,0.009736328125000016,0.0367431640625,0.015698242187499992,0.013144257856496809
ibm_torino_identity_10q_40960shots.txt,10,0.011079101562500002,0.05551757812500001,0.021264648437499957,0.021480972764493657
ibm_torino_identity_20q_40960shots.txt,20,0.00797607421875,0.0606689453125,0.016845703125000003,0.01505199011787152
ibm_torino_layers_10q_40960shots.txt,10,0.007580566406250005,0.036865234375,0.010546874999999987,0.009739114963612112
ibm_torino_layers_20q_40960shots.txt,20,0.003492431640624999,0.018579101562499978,0.008081054687499997,0.010172239771291641
