row_index,file,q_label,topology,n_points
98,24q_readout_raw_data.txt,24q,2D_Block,8000
99,24q_readout_raw_data.txt,24q,2D_Block,9000
100,24q_readout_raw_data.txt,24q,2D_Block,10000
101,24q_readout_raw_data.txt,24q,2D_Block,15000
102,24q_readout_raw_data.txt,24q,2D_Block,20000
103,24q_readout_raw_data.txt,24q,2D_Block,30000
104,24q_readout_raw_data.txt,24q,2D_Block,40000
105,26q_readout_raw_data.txt,26q,Bulk_Full,500
106,26q_readout_raw_data.txt,26q,Bulk_Full,1000
107,26q_readout_raw_data.txt,26q,Bulk_Full,2000
108,26q_readout_raw_data.txt,26q,Bulk_Full,3000
109,26q_readout_raw_data.txt,26q,Bulk_Full,4000
110,26q_readout_raw_data.txt,26q,Bulk_Full,5000
111,26q_readout_raw_data.txt,26q,Bulk_Full,6000
112,26q_readout_raw_data.txt,26q,Bulk_Full,7000
113,26q_readout_raw_data.txt,26q,Bulk_Full,8000
114,26q_readout_raw_data.txt,26q,Bulk_Full,9000
115,26q_readout_raw_data.txt,26q,Bulk_Full,10000
116,26q_readout_raw_data.txt,26q,Bulk_Full,15000
117,26q_readout_raw_data.txt,26q,Bulk_Full,20000
118,26q_readout_raw_data.txt,26q,Bulk_Full,30000
119,26q_readout_raw_data.txt,26q,Bulk_Full,40000
120,28q_readout_raw_data.txt,28q,1D_Snake,500
121,28q_readout_raw_data.txt,28q,1D_Snake,1000
122,28q_readout_raw_data.txt,28q,1D_Snake,2000
123,28q_readout_raw_data.txt,28q,1D_Snake,3000
124,28q_readout_raw_data.txt,28q,1D_Snake,4000
125,28q_readout_raw_data.txt,28q,1D_Snake,5000
126,28q_readout_raw_data.txt,28q,1D_Snake,6000
127,28q_readout_raw_data.txt,28q,1D_Snake,7000
128,28q_readout_raw_data.txt,28q,1D_Snake,8000
129,28q_readout_raw_data.txt,28q,1D_Snake,9000
130,28q_readout_raw_data.txt,28q,1D_Snake,10000
131,28q_readout_raw_data.txt,28q,1D_Snake,15000
132,28q_readout_raw_data.txt,28q,1D_Snake,20000
133,28q_readout_raw_data.txt,28q,1D_Snake,30000
134,28q_readout_raw_data.txt,28q,1D_Snake,40000
135,30q_readout_raw_data.txt,30q,2D_Block,500
136,30q_readout_raw_data.txt,30q,2D_Block,1000
137,30q_readout_raw_data.txt,30q,2D_Block,2000
138,30q_readout_raw_data.txt,30q,2D_Block,3000
139,30q_readout_raw_data.txt,30q,2D_Block,4000
140,30q_readout_raw_data.txt,30q,2D_Block,5000
141,30q_readout_raw_data.txt,30q,2D_Block,6000
142,30q_readout_raw_data.txt,30q,2D_Block,7000
143,30q_readout_raw_data.txt,30q,2D_Block,8000
144,30q_readout_raw_data.txt,30q,2D_Block,9000
145,30q_readout_raw_data.txt,30q,2D_Block,10000
146,30q_readout_raw_data.txt,30q,2D_Block,15000
147,30q_readout_raw_data.txt,30q,2D_Block,20000
148,30q_readout_raw_data.txt,30q,2D_Block,30000
149,30q_readout_raw_data.txt,30q,2D_Block,40000
150,32q_readout_raw_data.txt,32q,1D_Snake,500
151,32q_readout_raw_data.txt,32q,1D_Snake,1000
152,32q_readout_raw_data.txt,32q,1D_Snake,2000
153,32q_readout_raw_data.txt,32q,1D_Snake,3000
154,32q_readout_raw_data.txt,32q,1D_Snake,4000
155,32q_readout_raw_data.txt,32q,1D_Snake,5000
156,32q_readout_raw_data.txt,32q,1D_Snake,6000
157,32q_readout_raw_data.txt,32q,1D_Snake,7000
158,32q_readout_raw_data.txt,32q,1D_Snake,8000
159,32q_readout_raw_data.txt,32q,1D_Snake,9000
160,32q_readout_raw_data.txt,32q,1D_Snake,10000
161,32q_readout_raw_data.txt,32q,1D_Snake,15000
162,32q_readout_raw_data.txt,32q,1D_Snake,20000
163,32q_readout_raw_data.txt,32q,1D_Snake,30000
164,32q_readout_raw_data.txt,32q,1D_Snake,40000
165,34q_readout_raw_data.txt,34q,2D_Block,500
166,34q_readout_raw_data.txt,34q,2D_Block,1000
167,34q_readout_raw_data.txt,34q,2D_Block,2000
168,34q_readout_raw_data.txt,34q,2D_Block,3000
169,34q_readout_raw_data.txt,34q,2D_Block,4000
170,34q_readout_raw_data.txt,34q,2D_Block,5000
171,34q_readout_raw_data.txt,34q,2D_Block,6000
172,34q_readout_raw_data.txt,34q,2D_Block,7000
173,34q_readout_raw_data.txt,34q,2D_Block,8000
174,34q_readout_raw_data.txt,34q,2D_Block,9000
175,34q_readout_raw_data.txt,34q,2D_Block,10000
176,34q_readout_raw_data.txt,34q,2D_Block,15000
177,34q_readout_raw_data.txt,34q,2D_Block,20000
178,34q_readout_raw_data.txt,34q,2D_Block,30000
179,34q_readout_raw_data.txt,34q,2D_Block,40000
180,36q_readout_raw_data.txt,36q,Bulk_Full,500
181,36q_readout_raw_data.txt,36q,Bulk_Full,1000
182,36q_readout_raw_data.txt,36q,Bulk_Full,2000
183,36q_readout_raw_data.txt,36q,Bulk_Full,3000
184,36q_readout_raw_data.txt,36q,Bulk_Full,4000
185,36q_readout_raw_data.txt,36q,Bulk_Full,5000
186,36q_readout_raw_data.txt,36q,Bulk_Full,6000
187,36q_readout_raw_data.txt,36q,Bulk_Full,7000
188,36q_readout_raw_data.txt,36q,Bulk_Full,8000
189,36q_readout_raw_data.txt,36q,Bulk_Full,9000
190,36q_readout_raw_data.txt,36q,Bulk_Full,10000
191,36q_readout_raw_data.txt,36q,Bulk_Full,15000
192,36q_readout_raw_data.txt,36q,Bulk_Full,20000
193,36q_readout_raw_data.txt,36q,Bulk_Full,30000
194,36q_readout_raw_data.txt,36q,Bulk_Full,40000
195,38q_readout_raw_data.txt,38q,Bulk_Full,500
196,38q_readout_raw_data.txt,38q,Bulk_Full,1000
197,38q_readout_raw_data.txt,38q,Bulk_Full,2000
198,38q_readout_raw_data.txt,38q,Bulk_Full,3000
199,38q_readout_raw_data.txt,38q,Bulk_Full,4000
200,38q_readout_raw_data.txt,38q,Bulk_Full,5000
201,38q_readout_raw_data.txt,38q,Bulk_Full,6000
202,38q_readout_raw_data.txt,38q,Bulk_Full,7000
203,38q_readout_raw_data.txt,38q,Bulk_Full,8000
204,38q_readout_raw_data.txt,38q,Bulk_Full,9000
205,38q_readout_raw_data.txt,38q,Bulk_Full,10000
206,38q_readout_raw_data.txt,38q,Bulk_Full,15000
207,38q_readout_raw_data.txt,38q,Bulk_Full,20000
208,38q_readout_raw_data.txt,38q,Bulk_Full,30000
209,38q_readout_raw_data.txt,38q,Bulk_Full,40000
210,39q_readout_raw_data.txt,39q,2D_Block,500
211,39q_readout_raw_data.txt,39q,2D_Block,1000
212,39q_readout_raw_data.txt,39q,2D_Block,2000
213,39q_readout_raw_data.txt,39q,2D_Block,3000
214,39q_readout_raw_data.txt,39q,2D_Block,4000
215,39q_readout_raw_data.txt,39q,2D_Block,5000
216,39q_readout_raw_data.txt,39q,2D_Block,6000
217,39q_readout_raw_data.txt,39q,2D_Block,7000
218,39q_readout_raw_data.txt,39q,2D_Block,8000
219,39q_readout_raw_data.txt,39q,2D_Block,9000
