file,q_label,topology,qubits,n_min_filter,status,n_points_used,exp_v_inf,exp_A,exp_tau,exp_rmse,exp_aic,pow_v_inf,pow_a,pow_b,pow_rmse,pow_aic,preferred_model,delta_aic,N_star_grammar,ratio_tau_over_N_star,ratio_tau_over_N_foti_anchor,N_foti_anchor,A_times_tau,alphabet_k,invariant_k_kminus1_pi_half,ratio_A_tau_over_invariant
14q_readout_raw_data.txt,14q,1D_Snake,14,500.0,ok,14,1.3524349431932498e-24,0.002542435690762694,39682.72451331901,0.0013482698837634225,-179.05012612868546,8.321931207351988e-12,0.0032951478843367393,0.05905144565246149,0.0014427556438637535,-177.15360987004544,exp,1.8965162586400197,8500.0,4.6685558250963535,4.960340564164876,8000.0,100.8907751093659,7,65.97344572538566,1.5292633877169848
18q_readout_raw_data.txt,18q,1D_Snake,18,500.0,ok,14,3.2402447045557247e-20,0.0021447212781186683,29638.760332604055,0.0006297283713535438,-200.36621566778268,4.998198139224749e-15,0.007087761702748044,0.1734568389852241,0.0007390730352549125,-195.8831867375443,exp,4.48302893023839,9500.0,3.1198695086951638,3.7048450415755068,8000.0,63.56687994239546,7,65.97344572538566,0.9635222056915517
22q_readout_raw_data.txt,22q,1D_Snake,22,500.0,ok,14,2.14503459607974e-17,0.0028940165402672013,23542.226379771477,0.000985107630239582,-187.8372702975205,1.3207857729927772e-17,0.014565865581764698,0.2297195529023708,0.0011108517352340175,-184.4735904082103,exp,3.363679889310191,6500.0,3.621880981503304,2.9427782974714347,8000.0,68.13159253777349,7,65.97344572538566,1.032712355534242
28q_readout_raw_data.txt,28q,1D_Snake,28,500.0,ok,14,1.827880772337286e-18,0.0032368532401592627,22792.637225601156,0.0010347889691537941,-186.45961749256253,5.111352353944722e-18,0.02578913557057107,0.28405315824155924,0.0011321223276444402,-183.94251476898378,exp,2.517102723578745,4500.0,5.065030494578035,2.8490796532001443,8000.0,73.77642165546173,7,65.97344572538566,1.118274494295113
32q_readout_raw_data.txt,32q,1D_Snake,32,500.0,ok,14,1.1077567333358083e-18,0.0029551853285736417,19739.070215151114,0.0008743507968318985,-191.17680901696392,1.3940501905639273e-16,0.037530357523454204,0.3437165732796659,0.0009165202028029794,-189.85794052994788,exp,1.318868487016033,17500.0,1.1279468694372066,2.467383776893889,8000.0,58.33261069949953,7,65.97344572538566,0.8841831748838603
47q_readout_raw_data.txt,47q,1D_Snake,47,500.0,ok,14,5.453400094532129e-15,0.002715427062123893,23553.06720074962,0.0008076816565515486,-193.39759186182644,6.0249481750925134e-18,0.016941711604298554,0.25410520024600275,0.0009054169136057626,-190.1992211851412,exp,3.1983706766852436,5500.0,4.282375854681749,2.9441334000937025,8000.0,63.956636072938174,7,65.97344572538566,0.9694299785273843
49q_readout_raw_data.txt,49q,1D_Snake,49,500.0,ok,14,0.00010025074618272283,0.0040952313376680805,10633.598464577195,0.0011886064269475472,-182.57926438088393,1.3330695020631837e-13,0.19513382189149311,0.526665019207582,0.001136523050105389,-183.83388573011527,pow,1.2546213492313427,750.0,14.178131286102927,1.3291998080721494,8000.0,43.54704566431571,7,65.97344572538566,0.6600692928118413
12q_readout_raw_data.txt,12q,2D_Block,12,500.0,ok,14,7.877201933804308e-18,0.002291887493309919,28740.655243140704,0.0009924012650927713,-187.63072487825733,1.598617971098571e-13,0.008688633316183367,0.1902474886715461,0.0010719634732033456,-185.47137213171476,exp,2.1593527465425666,9500.0,3.025332130856916,3.592581905392588,8000.0,65.87034830128633,7,65.97344572538566,0.9984372890794809
16q_readout_raw_data.txt,16q,2D_Block,16,500.0,ok,14,5.250625151105299e-21,0.0029468461112487497,28941.81378356717,0.0012923149189554028,-180.23696442403565,2.338948408297674e-15,0.008106240482529172,0.15358201568556187,0.0014205523837173615,-177.58786545100426,exp,2.6490989730313856,5500.0,5.262147960648576,3.6177267229458963,8000.0,85.28707140059038,7,65.97344572538566,1.2927484757367025
20q_readout_raw_data.txt,20q,2D_Block,20,500.0,ok,14,1.0549502971188572e-22,0.0027778803873020766,30572.900483575635,0.0011678698653379176,-183.07206688849195,6.202907443518201e-16,0.006376706899735391,0.13134956470392456,0.0013011592049802956,-180.04599203962186,exp,3.0260748488700813,9500.0,3.2182000509026985,3.821612560446954,8000.0,84.92786063626293,7,65.97344572538566,1.2873036977600805
