held_out_topology,n_train,n_test,rmse_logN,mae_logN,ridge_alpha
1D_Snake,43,7,0.8600933117831849,0.5574790272031589,0.2728333376486768
2D_Block,36,14,0.8793420865556139,0.6645674761321246,0.18047217668271703
Bulk_Full,43,7,0.4297708703382073,0.40564207073761566,0.2728333376486768
