fold,n_train,n_test,rmse_logN,mae_logN,ridge_alpha
0,40,10,0.5629385393800515,0.47603965463995224,0.41246263829013524
1,40,10,0.7752358526021886,0.6501471629134284,0.18047217668271703
2,40,10,0.8969609696197688,0.5895406901182635,0.18047217668271703
3,40,10,0.7355207711530318,0.5682520053673683,0.2728333376486768
4,40,10,0.837684575231887,0.6450415728765633,0.41246263829013524
