file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
12q_readout_raw_data.txt,12q,2D_Block,500,34999.01331894299,2.6742892805822936e+16,14035.304691321457,0.0,1.3338664832857248,1.408866874170612
12q_readout_raw_data.txt,12q,2D_Block,1000,103956.66067775604,6.75161907940509e+16,55596.66161751958,0.035040512536168696,1.4126117714753803,1.2961381821653373
12q_readout_raw_data.txt,12q,2D_Block,2000,453356.904753144,3.414536353116425e+18,224619.45010503905,0.0778031594766576,1.4531210506496943,1.2270032147121892
12q_readout_raw_data.txt,12q,2D_Block,3000,461012.66651538573,6.200597079874303e+18,216218.18773871142,0.08014521867640742,1.3749905734749377,1.3683137472854126
12q_readout_raw_data.txt,12q,2D_Block,4000,332040.87497033156,9.240170570531545e+18,130194.69109981283,1.1470079627174907,1.344925832508377,1.4094211157303564
12q_readout_raw_data.txt,12q,2D_Block,5000,2481396.481873898,3.232370605007044e+21,927875.1146319506,1.4885025832055603,1.3236774436985363,1.442951504869163
12q_readout_raw_data.txt,12q,2D_Block,6000,16278818.240913251,2.3221325920847407e+20,8297739.7116522025,0.8854234089079841,1.1166446282351716,1.5998664375867873
12q_readout_raw_data.txt,12q,2D_Block,7000,13561788.307475643,1.0433065483372067e+19,7315115.890890936,2.1161484150937744,1.3996646955537277,1.2543536148180119
12q_readout_raw_data.txt,12q,2D_Block,8000,49283234.30256366,1.0956762505256098e+20,27527080.728710603,0.8057002244358717,1.4629455024012745,1.2691081108607034
12q_readout_raw_data.txt,12q,2D_Block,9000,502.721081291045,10344258506.716118,319.41999413585904,0.49756632710308046,1.1650648808767536,1.5536522132089023
12q_readout_raw_data.txt,12q,2D_Block,10000,768250604.5238883,3.683308073087663e+22,767425083.9148548,1.7102136972161512,1.176118442581776,1.411045879688134
12q_readout_raw_data.txt,12q,2D_Block,15000,605.3413697246517,3476038897.2747283,442.42294364328734,1.1669554399106947,1.7335547325320475,1.0086251821699277
12q_readout_raw_data.txt,12q,2D_Block,20000,14940.98285676431,7.814153277805553e+19,5712.47850172902,2.1666905064449353,1.2583282029419212,1.4102150431043143
12q_readout_raw_data.txt,12q,2D_Block,30000,78048.18166627151,2.523950735311962e+16,59304.943184524825,1.939364991953094,0.9656125652034719,1.5773555700991224
12q_readout_raw_data.txt,12q,2D_Block,40000,740.4997332902224,348126034466.48065,301.07345597935256,1.7599783721067779,1.3273173802372877,1.2391750890136064
14q_readout_raw_data.txt,14q,1D_Snake,500,82447.69162333934,1.1131930295448318e+19,36753.87580457487,0.0,1.4453643723611762,1.3505972454647266
