layer,regime_a,regime_b,cohens_d,abs_d
early,factual,mathematical,0.9824807483355812,0.9824807483355812
early,factual,creative,0.5566305115457838,0.5566305115457838
early,mathematical,creative,-3.3531532530146464,3.3531532530146464
mid,factual,mathematical,0.01318921799252748,0.01318921799252748
mid,factual,creative,0.5718172765584207,0.5718172765584207
mid,mathematical,creative,0.558438996167276,0.558438996167276
late,factual,mathematical,-3.590199874666632,3.590199874666632
late,factual,creative,0.12472052740678369,0.12472052740678369
late,mathematical,creative,2.6105169252405465,2.6105169252405465
