subject,regime,channel,condition,rep,K,sfreq,n_samples,val_loss,perplexity,wall_seconds
0,rest,Fp1,aaft,0,7,100.0,18200,1.4715093066656189,4.3558044269378975,124.55142974853516
0,rest,Fp2,aaft,0,7,100.0,18200,1.4942975591430552,4.4562052325706425,133.9044337272644
0,rest,F3,aaft,0,7,100.0,18200,1.4503769315473019,4.264721720403494,126.08209490776062
0,rest,F4,aaft,0,7,100.0,18200,1.4666830210595632,4.3348327191629314,122.94861912727356
0,rest,F7,aaft,0,7,100.0,18200,1.4043845881851718,4.073019385566598,121.71748471260071
0,rest,F8,aaft,0,7,100.0,18200,1.4690150960601225,4.344953671001319,109.23070406913757
0,rest,T3,aaft,0,7,100.0,18200,1.4534990155231584,4.278057346388036,109.50721740722656
0,rest,T4,aaft,0,7,100.0,18200,1.4726645235357576,4.360839233281611,108.807049036026
0,rest,C3,aaft,0,7,100.0,18200,1.4274243615828923,4.167950222422697,109.46522498130798
0,rest,C4,aaft,0,7,100.0,18200,1.468214702761352,4.341477390580941,109.29469442367554
0,rest,T5,aaft,0,7,100.0,18200,1.458587275200632,4.299880687410116,109.13138222694397
0,rest,T6,aaft,0,7,100.0,18200,1.4286089164649465,4.172890313533699,109.0446310043335
0,rest,P3,aaft,0,7,100.0,18200,1.460142790369192,4.3065744217953705,109.78995656967163
0,rest,P4,aaft,0,7,100.0,18200,1.401957295196891,4.063144963077252,107.80479049682617
0,rest,O1,aaft,0,7,100.0,18200,1.4444260687776225,4.239418309928113,109.69251227378845
0,rest,O2,aaft,0,7,100.0,18200,1.3530534442377378,3.8692219651682564,108.15712285041809
0,rest,Fz,aaft,0,7,100.0,18200,1.4332012322254497,4.192097612722985,109.46105909347534
0,rest,Cz,aaft,0,7,100.0,18200,1.440132135292951,4.221253556722528,109.04615139961243
0,rest,Pz,aaft,0,7,100.0,18200,1.4676810565912795,4.339161195868187,108.52575945854187
0,arithmetic,Fp1,aaft,0,7,100.0,6200,1.4634881934944999,4.321005775213524,36.9848358631134
0,arithmetic,Fp2,aaft,0,7,100.0,6200,1.6261874298045904,5.084452884981414,37.69168210029602
0,arithmetic,F3,aaft,0,7,100.0,6200,1.5891253108942964,4.899461547897736,37.40176343917847
0,arithmetic,F4,aaft,0,7,100.0,6200,1.587855292297523,4.893243090232006,37.4856321811676
0,arithmetic,F7,aaft,0,7,100.0,6200,1.572139634038969,4.816943672214233,36.97262239456177
0,arithmetic,F8,aaft,0,7,100.0,6200,1.627284622890902,5.090034573069331,36.778295040130615
0,arithmetic,T3,aaft,0,7,100.0,6200,1.7207510510446515,5.588724305661331,37.015220403671265
0,arithmetic,T4,aaft,0,7,100.0,6200,1.5812697023193303,4.861124074991928,37.52350425720215
0,arithmetic,C3,aaft,0,7,100.0,6200,1.6205308756791847,5.055773591497338,37.02548956871033
0,arithmetic,C4,aaft,0,7,100.0,6200,1.5612398142351942,4.764724958457992,37.401737213134766
0,arithmetic,T5,aaft,0,7,100.0,6200,1.7097960473657512,5.527833946351378,36.924960136413574
0,arithmetic,T6,aaft,0,7,100.0,6200,1.6147420278116822,5.026591035506221,37.14344596862793
0,arithmetic,P3,aaft,0,7,100.0,6200,1.6043963738955533,4.974855743434355,36.923630475997925
0,arithmetic,P4,aaft,0,7,100.0,6200,1.5618265888546539,4.767521598550793,36.70823931694031
0,arithmetic,O1,aaft,0,7,100.0,6200,1.6120368432054242,5.013011554597618,37.14246344566345
0,arithmetic,O2,aaft,0,7,100.0,6200,1.5130439128644084,4.540530760705203,37.32626986503601
0,arithmetic,Fz,aaft,0,7,100.0,6200,1.5101129099461963,4.527241936100636,36.9166476726532
0,arithmetic,Cz,aaft,0,7,100.0,6200,1.5693426622055164,4.803489640484583,37.2764458656311
0,arithmetic,Pz,aaft,0,7,100.0,6200,1.6113651787049055,5.009645623210557,38.03908634185791
1,rest,Fp1,aaft,0,7,100.0,18200,1.538503019946779,4.657612696344072,108.76274609565735
1,rest,Fp2,aaft,0,7,100.0,18200,1.5564932183140694,4.7421623246194216,110.13335728645325
1,rest,F3,aaft,0,7,100.0,18200,1.5252420657318686,4.596256030736797,109.60931754112244
1,rest,F4,aaft,0,7,100.0,18200,1.444301590519411,4.238890627364247,109.22351694107056
1,rest,F7,aaft,0,7,100.0,18200,1.5341151895806016,4.63722065305197,110.12328767776489
1,rest,F8,aaft,0,7,100.0,18200,1.457305982916778,4.294374811535237,110.60085272789001
1,rest,T3,aaft,0,7,100.0,18200,1.7461055309314732,5.732235136997261,109.68386459350586
1,rest,T4,aaft,0,7,100.0,18200,1.4410440411822796,4.2251046983737535,109.45083093643188
1,rest,C3,aaft,0,7,100.0,18200,1.546646418504226,4.695696347572509,108.8575348854065
1,rest,C4,aaft,0,7,100.0,18200,1.4720678521443868,4.35823802138028,109.29252791404724
1,rest,T5,aaft,0,7,100.0,18200,1.5518751961392998,4.720313402081757,109.24380874633789
1,rest,T6,aaft,0,7,100.0,18200,1.4269574320876877,4.16600453781342,110.17703986167908
1,rest,P3,aaft,0,7,100.0,18200,1.4924283636184585,4.447883493594801,108.77203488349915
1,rest,P4,aaft,0,7,100.0,18200,1.4648847829739216,4.327044662361285,110.92455220222473
1,rest,O1,aaft,0,7,100.0,18200,1.4597916163058873,4.305062330075981,109.0873031616211
1,rest,O2,aaft,0,7,100.0,18200,1.4765417814912578,4.377780152826134,108.72783136367798
1,rest,Fz,aaft,0,7,100.0,18200,1.4611398891385041,4.310870643373974,109.96724796295166
