layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.117
0,factual,creative,0.3014
0,factual,philosophical,0.2208
0,mathematical,creative,0.1859
0,mathematical,philosophical,0.3217
0,creative,philosophical,0.4795
1,factual,mathematical,0.2261
1,factual,creative,0.423
1,factual,philosophical,0.1092
1,mathematical,creative,0.1896
1,mathematical,philosophical,0.3046
1,creative,philosophical,0.4757
2,factual,mathematical,0.2313
2,factual,creative,0.4219
2,factual,philosophical,0.0056
2,mathematical,creative,0.1957
2,mathematical,philosophical,0.2076
2,creative,philosophical,0.3759
3,factual,mathematical,0.1977
3,factual,creative,0.4712
3,factual,philosophical,0.0694
3,mathematical,creative,0.317
3,mathematical,philosophical,0.2648
3,creative,philosophical,0.5243
4,factual,mathematical,0.2539
4,factual,creative,0.0482
4,factual,philosophical,0.1386
4,mathematical,creative,0.3665
4,mathematical,philosophical,0.1099
4,creative,philosophical,0.2122
5,factual,mathematical,0.2219
5,factual,creative,0.0267
5,factual,philosophical,0.4469
5,mathematical,creative,0.2573
5,mathematical,philosophical,0.2114
5,creative,philosophical,0.4957
6,factual,mathematical,0.0514
6,factual,creative,0.0254
6,factual,philosophical,0.0945
6,mathematical,creative,0.079
6,mathematical,philosophical,0.1344
6,creative,philosophical,0.0773
7,factual,mathematical,0.0705
7,factual,creative,0.0913
7,factual,philosophical,0.2382
7,mathematical,creative,0.011
7,mathematical,philosophical,0.3083
7,creative,philosophical,0.3644
8,factual,mathematical,0.081
8,factual,creative,0.112
8,factual,philosophical,0.1682
8,mathematical,creative,0.0049
8,mathematical,philosophical,0.2348
8,creative,philosophical,0.3362
9,factual,mathematical,0.1934
9,factual,creative,0.0447
9,factual,philosophical,0.3681
9,mathematical,creative,0.1489
9,mathematical,philosophical,0.2017
9,creative,philosophical,0.3291
10,factual,mathematical,0.03
10,factual,creative,0.1382
10,factual,philosophical,0.4615
10,mathematical,creative,0.1673
10,mathematical,philosophical,0.4535
10,creative,philosophical,0.5229
11,factual,mathematical,0.2167
11,factual,creative,0.0826
11,factual,philosophical,0.1613
11,mathematical,creative,0.0923
11,mathematical,philosophical,0.3883
11,creative,philosophical,0.2045
12,factual,mathematical,0.2289
12,factual,creative,0.1176
12,factual,philosophical,0.1407
12,mathematical,creative,0.0562
12,mathematical,philosophical,0.3798
12,creative,philosophical,0.2178
13,factual,mathematical,0.2482
13,factual,creative,0.0673
13,factual,philosophical,0.0098
13,mathematical,creative,0.1769
13,mathematical,philosophical,0.2851
13,creative,philosophical,0.0842
14,factual,mathematical,0.1429
14,factual,creative,0.0243
14,factual,philosophical,0.0245
14,mathematical,creative,0.1265
14,mathematical,philosophical,0.185
14,creative,philosophical,0.0529
15,factual,mathematical,0.1403
15,factual,creative,0.0091
15,factual,philosophical,0.0031
15,mathematical,creative,0.1394
15,mathematical,philosophical,0.1497
15,creative,philosophical,0.0128
16,factual,mathematical,0.1977
16,factual,creative,0.064
16,factual,philosophical,0.0816
16,mathematical,creative,0.1354
16,mathematical,philosophical,0.1061
16,creative,philosophical,0.0213
17,factual,mathematical,0.2362
17,factual,creative,0.045
17,factual,philosophical,0.1583
17,mathematical,creative,0.1898
17,mathematical,philosophical,0.0544
17,creative,philosophical,0.1166
18,factual,mathematical,0.1741
18,factual,creative,0.1368
18,factual,philosophical,0.1073
18,mathematical,creative,0.0257
18,mathematical,philosophical,0.064
18,creative,philosophical,0.0344
19,factual,mathematical,0.2374
19,factual,creative,0.1878
19,factual,philosophical,0.118
19,mathematical,creative,0.0427
19,mathematical,philosophical,0.1221
19,creative,philosophical,0.0752
20,factual,mathematical,0.2679
20,factual,creative,0.2333
20,factual,philosophical,0.1147
20,mathematical,creative,0.0241
20,mathematical,philosophical,0.1672
20,creative,philosophical,0.1344
21,factual,mathematical,0.2311
21,factual,creative,0.2176
21,factual,philosophical,0.2013
21,mathematical,creative,0.0139
21,mathematical,philosophical,0.0267
21,creative,philosophical,0.0131
22,factual,mathematical,0.29
22,factual,creative,0.2866
22,factual,philosophical,0.1827
22,mathematical,creative,0.0061
22,mathematical,philosophical,0.1132
22,creative,philosophical,0.1081
23,factual,mathematical,0.3436
23,factual,creative,0.3226
23,factual,philosophical,0.1629
23,mathematical,creative,0.0275
23,mathematical,philosophical,0.1897
23,creative,philosophical,0.1652
24,factual,mathematical,0.2706
24,factual,creative,0.3975
24,factual,philosophical,0.0779
24,mathematical,creative,0.1288
24,mathematical,philosophical,0.2058
24,creative,philosophical,0.339
25,factual,mathematical,0.3105
25,factual,creative,0.4206
25,factual,philosophical,0.1258
25,mathematical,creative,0.0869
25,mathematical,philosophical,0.1774
25,creative,philosophical,0.274
