layer,regime_a,regime_b,cohens_d
0,factual,mathematical,1.112
0,factual,creative,0.2025
0,factual,philosophical,0.213
0,mathematical,creative,0.947
0,mathematical,philosophical,1.213
0,creative,philosophical,0.3967
1,factual,mathematical,0.8651
1,factual,creative,0.2411
1,factual,philosophical,0.1062
1,mathematical,creative,0.7216
1,mathematical,philosophical,0.9432
1,creative,philosophical,0.3496
2,factual,mathematical,0.611
2,factual,creative,0.157
2,factual,philosophical,0.0555
2,mathematical,creative,0.5335
2,mathematical,philosophical,0.6578
2,creative,philosophical,0.2175
3,factual,mathematical,0.6138
3,factual,creative,0.3791
3,factual,philosophical,0.0672
3,mathematical,creative,0.2639
3,mathematical,philosophical,0.4726
3,creative,philosophical,0.2564
4,factual,mathematical,0.3521
4,factual,creative,0.3999
4,factual,philosophical,0.0285
4,mathematical,creative,0.111
4,mathematical,philosophical,0.3676
4,creative,philosophical,0.4136
5,factual,mathematical,0.1833
5,factual,creative,0.2587
5,factual,philosophical,0.0525
5,mathematical,creative,0.1236
5,mathematical,philosophical,0.1306
5,creative,philosophical,0.2172
6,factual,mathematical,0.3864
6,factual,creative,0.3954
6,factual,philosophical,0.0955
6,mathematical,creative,0.0838
6,mathematical,philosophical,0.4578
6,creative,philosophical,0.4601
7,factual,mathematical,0.0178
7,factual,creative,0.0655
7,factual,philosophical,0.3381
7,mathematical,creative,0.0528
7,mathematical,philosophical,0.3792
7,creative,philosophical,0.3948
8,factual,mathematical,0.0142
8,factual,creative,0.0118
8,factual,philosophical,0.1682
8,mathematical,creative,0.0247
8,mathematical,philosophical,0.171
8,creative,philosophical,0.1491
9,factual,mathematical,0.0715
9,factual,creative,0.0889
9,factual,philosophical,0.1668
9,mathematical,creative,0.1716
9,mathematical,philosophical,0.2583
9,creative,philosophical,0.0794
10,factual,mathematical,0.2038
10,factual,creative,0.1568
10,factual,philosophical,0.3482
10,mathematical,creative,0.0254
10,mathematical,philosophical,0.2008
10,creative,philosophical,0.1952
11,factual,mathematical,0.09
11,factual,creative,0.3294
11,factual,philosophical,0.6904
11,mathematical,creative,0.2612
11,mathematical,philosophical,0.6585
11,creative,philosophical,0.3779
12,factual,mathematical,0.2314
12,factual,creative,0.3625
12,factual,philosophical,0.6434
12,mathematical,creative,0.1514
12,mathematical,philosophical,0.4591
12,creative,philosophical,0.2895
13,factual,mathematical,0.1171
13,factual,creative,0.0872
13,factual,philosophical,0.1816
13,mathematical,creative,0.1962
13,mathematical,philosophical,0.279
13,creative,philosophical,0.0978
14,factual,mathematical,0.0291
14,factual,creative,0.0523
14,factual,philosophical,0.2698
14,mathematical,creative,0.0761
14,mathematical,philosophical,0.285
14,creative,philosophical,0.1801
15,factual,mathematical,0.0194
15,factual,creative,0.0568
15,factual,philosophical,0.2597
15,mathematical,creative,0.0714
15,mathematical,philosophical,0.264
15,creative,philosophical,0.1675
16,factual,mathematical,0.0251
16,factual,creative,0.0138
16,factual,philosophical,0.3062
16,mathematical,creative,0.0338
16,mathematical,philosophical,0.3033
16,creative,philosophical,0.2367
17,factual,mathematical,0.0894
17,factual,creative,0.0248
17,factual,philosophical,0.2631
17,mathematical,creative,0.0533
17,mathematical,philosophical,0.3091
17,creative,philosophical,0.2418
18,factual,mathematical,0.1987
18,factual,creative,0.1249
18,factual,philosophical,0.2183
18,mathematical,creative,0.0595
18,mathematical,philosophical,0.3489
18,creative,philosophical,0.2846
19,factual,mathematical,0.1689
19,factual,creative,0.1453
19,factual,philosophical,0.2479
19,mathematical,creative,0.0193
19,mathematical,philosophical,0.3513
19,creative,philosophical,0.3307
20,factual,mathematical,0.1433
20,factual,creative,0.1955
20,factual,philosophical,0.2472
20,mathematical,creative,0.0463
20,mathematical,philosophical,0.3348
20,creative,philosophical,0.3784
21,factual,mathematical,0.1549
21,factual,creative,0.1931
21,factual,philosophical,0.2931
21,mathematical,creative,0.0331
21,mathematical,philosophical,0.3902
21,creative,philosophical,0.4246
22,factual,mathematical,0.2057
22,factual,creative,0.1448
22,factual,philosophical,0.3668
22,mathematical,creative,0.0587
22,mathematical,philosophical,0.4905
22,creative,philosophical,0.4447
23,factual,mathematical,0.0527
23,factual,creative,0.0678
23,factual,philosophical,0.3014
23,mathematical,creative,0.1252
23,mathematical,philosophical,0.2548
23,creative,philosophical,0.3883
24,factual,mathematical,0.088
24,factual,creative,0.1887
24,factual,philosophical,0.2248
24,mathematical,creative,0.0973
24,mathematical,philosophical,0.3048
24,creative,philosophical,0.4048
25,factual,mathematical,0.2643
25,factual,creative,0.2161
25,factual,philosophical,0.2077
25,mathematical,creative,0.0615
25,mathematical,philosophical,0.4327
25,creative,philosophical,0.3984
