layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.2791
0,factual,creative,0.4621
0,factual,philosophical,0.8245
0,mathematical,creative,0.1919
0,mathematical,philosophical,0.5427
0,creative,philosophical,0.332
1,factual,mathematical,0.3999
1,factual,creative,0.3888
1,factual,philosophical,0.8913
1,mathematical,creative,0.0141
1,mathematical,philosophical,0.4417
1,creative,philosophical,0.4602
2,factual,mathematical,0.384
2,factual,creative,0.2416
2,factual,philosophical,0.7736
2,mathematical,creative,0.1487
2,mathematical,philosophical,0.3363
2,creative,philosophical,0.5083
3,factual,mathematical,0.4674
3,factual,creative,0.144
3,factual,philosophical,0.8403
3,mathematical,creative,0.2743
3,mathematical,philosophical,0.3696
3,creative,philosophical,0.6098
4,factual,mathematical,0.4086
4,factual,creative,0.0351
4,factual,philosophical,0.6745
4,mathematical,creative,0.3866
4,mathematical,philosophical,0.26
4,creative,philosophical,0.61
5,factual,mathematical,0.329
5,factual,creative,0.0766
5,factual,philosophical,0.5466
5,mathematical,creative,0.3957
5,mathematical,philosophical,0.2612
5,creative,philosophical,0.6003
6,factual,mathematical,0.2652
6,factual,creative,0.0991
6,factual,philosophical,0.481
6,mathematical,creative,0.1781
6,mathematical,philosophical,0.252
6,creative,philosophical,0.417
7,factual,mathematical,0.0248
7,factual,creative,0.2385
7,factual,philosophical,0.0996
7,mathematical,creative,0.2096
7,mathematical,philosophical,0.1202
7,creative,philosophical,0.3215
8,factual,mathematical,0.0555
8,factual,creative,0.1679
8,factual,philosophical,0.0401
8,mathematical,creative,0.2138
8,mathematical,philosophical,0.0977
8,creative,philosophical,0.1412
9,factual,mathematical,0.175
9,factual,creative,0.0529
9,factual,philosophical,0.158
9,mathematical,creative,0.2187
9,mathematical,philosophical,0.3179
9,creative,philosophical,0.0981
10,factual,mathematical,0.0832
10,factual,creative,0.0413
10,factual,philosophical,0.0758
10,mathematical,creative,0.1282
10,mathematical,philosophical,0.1604
10,creative,philosophical,0.0375
11,factual,mathematical,0.1406
11,factual,creative,0.0163
11,factual,philosophical,0.0049
11,mathematical,creative,0.1281
11,mathematical,philosophical,0.1345
11,creative,philosophical,0.0111
12,factual,mathematical,0.0007
12,factual,creative,0.0425
12,factual,philosophical,0.1646
12,mathematical,creative,0.0381
12,mathematical,philosophical,0.1497
12,creative,philosophical,0.1967
13,factual,mathematical,0.0179
13,factual,creative,0.0304
13,factual,philosophical,0.0968
13,mathematical,creative,0.0097
13,mathematical,philosophical,0.1086
13,creative,philosophical,0.1312
14,factual,mathematical,0.0221
14,factual,creative,0.0737
14,factual,philosophical,0.1634
14,mathematical,creative,0.0949
14,mathematical,philosophical,0.1807
14,creative,philosophical,0.1027
15,factual,mathematical,0.1267
15,factual,creative,0.1494
15,factual,philosophical,0.1576
15,mathematical,creative,0.2525
15,mathematical,philosophical,0.258
15,creative,philosophical,0.0128
16,factual,mathematical,0.1109
16,factual,creative,0.1223
16,factual,philosophical,0.1338
16,mathematical,creative,0.1983
16,mathematical,philosophical,0.2072
16,creative,philosophical,0.0037
17,factual,mathematical,0.1052
17,factual,creative,0.0673
17,factual,philosophical,0.1524
17,mathematical,creative,0.1536
17,mathematical,philosophical,0.2265
17,creative,philosophical,0.0695
18,factual,mathematical,0.0682
18,factual,creative,0.0428
18,factual,philosophical,0.2726
18,mathematical,creative,0.0236
18,mathematical,philosophical,0.2146
18,creative,philosophical,0.2283
19,factual,mathematical,0.1953
19,factual,creative,0.0953
19,factual,philosophical,0.2439
19,mathematical,creative,0.098
19,mathematical,philosophical,0.0725
19,creative,philosophical,0.1566
20,factual,mathematical,0.1195
20,factual,creative,0.038
20,factual,philosophical,0.2126
20,mathematical,creative,0.0784
20,mathematical,philosophical,0.1143
20,creative,philosophical,0.1757
21,factual,mathematical,0.0886
21,factual,creative,0.0202
21,factual,philosophical,0.2051
21,mathematical,creative,0.0649
21,mathematical,philosophical,0.1366
21,creative,philosophical,0.182
22,factual,mathematical,0.0187
22,factual,creative,0.0149
22,factual,philosophical,0.1819
22,mathematical,creative,0.0339
22,mathematical,philosophical,0.1764
22,creative,philosophical,0.1905
23,factual,mathematical,0.0568
23,factual,creative,0.0617
23,factual,philosophical,0.1606
23,mathematical,creative,0.012
23,mathematical,philosophical,0.2265
23,creative,philosophical,0.2124
24,factual,mathematical,0.0079
24,factual,creative,0.1613
24,factual,philosophical,0.2074
24,mathematical,creative,0.1323
24,mathematical,philosophical,0.1827
24,creative,philosophical,0.3422
25,factual,mathematical,0.0628
25,factual,creative,0.1522
25,factual,philosophical,0.1868
25,mathematical,creative,0.0702
25,mathematical,philosophical,0.2109
25,creative,philosophical,0.3027
