layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.5693
0,factual,creative,0.1894
0,factual,philosophical,0.1118
0,mathematical,creative,0.76
0,mathematical,philosophical,0.582
0,creative,philosophical,0.0481
1,factual,mathematical,0.3077
1,factual,creative,0.1281
1,factual,philosophical,0.089
1,mathematical,creative,0.4342
1,mathematical,philosophical,0.3363
1,creative,philosophical,0.0178
2,factual,mathematical,0.2087
2,factual,creative,0.0842
2,factual,philosophical,0.0336
2,mathematical,creative,0.2897
2,mathematical,philosophical,0.2061
2,creative,philosophical,0.0386
3,factual,mathematical,0.1063
3,factual,creative,0.1294
3,factual,philosophical,0.0684
3,mathematical,creative,0.2442
3,mathematical,philosophical,0.1666
3,creative,philosophical,0.0478
4,factual,mathematical,0.1214
4,factual,creative,0.2168
4,factual,philosophical,0.1699
4,mathematical,creative,0.1188
4,mathematical,philosophical,0.0745
4,creative,philosophical,0.0273
5,factual,mathematical,0.0032
5,factual,creative,0.0969
5,factual,philosophical,0.114
5,mathematical,creative,0.1015
5,mathematical,philosophical,0.1182
5,creative,philosophical,0.0288
6,factual,mathematical,0.2334
6,factual,creative,0.11
6,factual,philosophical,0.2828
6,mathematical,creative,0.1684
6,mathematical,philosophical,0.0132
6,creative,philosophical,0.202
7,factual,mathematical,0.0415
7,factual,creative,0.0908
7,factual,philosophical,0.0061
7,mathematical,creative,0.1329
7,mathematical,philosophical,0.0494
7,creative,philosophical,0.0901
8,factual,mathematical,0.2675
8,factual,creative,0.1918
8,factual,philosophical,0.2073
8,mathematical,creative,0.0773
8,mathematical,philosophical,0.0679
8,creative,philosophical,0.0111
9,factual,mathematical,0.1256
9,factual,creative,0.0311
9,factual,philosophical,0.2851
9,mathematical,creative,0.0825
9,mathematical,philosophical,0.1902
9,creative,philosophical,0.2414
10,factual,mathematical,0.1616
10,factual,creative,0.1123
10,factual,philosophical,0.0967
10,mathematical,creative,0.2619
10,mathematical,philosophical,0.259
10,creative,philosophical,0.0219
11,factual,mathematical,0.0415
11,factual,creative,0.0342
11,factual,philosophical,0.1059
11,mathematical,creative,0.0797
11,mathematical,philosophical,0.1614
11,creative,philosophical,0.0708
12,factual,mathematical,0.0335
12,factual,creative,0.0811
12,factual,philosophical,0.1441
12,mathematical,creative,0.0508
12,mathematical,philosophical,0.1151
12,creative,philosophical,0.0601
13,factual,mathematical,0.0627
13,factual,creative,0.0426
13,factual,philosophical,0.1726
13,mathematical,creative,0.018
13,mathematical,philosophical,0.1111
13,creative,philosophical,0.1252
14,factual,mathematical,0.0429
14,factual,creative,0.1072
14,factual,philosophical,0.122
14,mathematical,creative,0.0704
14,mathematical,philosophical,0.1737
14,creative,philosophical,0.2356
15,factual,mathematical,0.1403
15,factual,creative,0.0699
15,factual,philosophical,0.1957
15,mathematical,creative,0.2157
15,mathematical,philosophical,0.0559
15,creative,philosophical,0.2728
16,factual,mathematical,0.1905
16,factual,creative,0.0574
16,factual,philosophical,0.2403
16,mathematical,creative,0.2492
16,mathematical,philosophical,0.0412
16,creative,philosophical,0.3028
17,factual,mathematical,0.3403
17,factual,creative,0.1186
17,factual,philosophical,0.2934
17,mathematical,creative,0.4742
17,mathematical,philosophical,0.0159
17,creative,philosophical,0.4106
18,factual,mathematical,0.2648
18,factual,creative,0.1396
18,factual,philosophical,0.2552
18,mathematical,creative,0.4348
18,mathematical,philosophical,0.0276
18,creative,philosophical,0.3944
19,factual,mathematical,0.2032
19,factual,creative,0.0224
19,factual,philosophical,0.2835
19,mathematical,creative,0.1823
19,mathematical,philosophical,0.1058
19,creative,philosophical,0.2656
20,factual,mathematical,0.1839
20,factual,creative,0.0269
20,factual,philosophical,0.2316
20,mathematical,creative,0.16
20,mathematical,philosophical,0.0706
20,creative,philosophical,0.2111
21,factual,mathematical,0.1901
21,factual,creative,0.0285
21,factual,philosophical,0.1961
21,mathematical,creative,0.1676
21,mathematical,philosophical,0.0293
21,creative,philosophical,0.1758
22,factual,mathematical,0.0877
22,factual,creative,0.1327
22,factual,philosophical,0.1869
22,mathematical,creative,0.0645
22,mathematical,philosophical,0.1198
22,creative,philosophical,0.0451
23,factual,mathematical,0.142
23,factual,creative,0.1215
23,factual,philosophical,0.1414
23,mathematical,creative,0.0025
23,mathematical,philosophical,0.0185
23,creative,philosophical,0.0136
24,factual,mathematical,0.1565
24,factual,creative,0.0691
24,factual,philosophical,0.044
24,mathematical,creative,0.0772
24,mathematical,philosophical,0.2122
24,creative,philosophical,0.1145
25,factual,mathematical,0.0995
25,factual,creative,0.1527
25,factual,philosophical,0.0465
25,mathematical,creative,0.0557
25,mathematical,philosophical,0.1544
25,creative,philosophical,0.2113
