step,entropy,in_repeat_run
318,0.05326763,0
319,0.00024810,0
320,0.00030268,0
321,0.00191174,0
322,0.47579775,0
323,0.17634231,0
324,0.18806875,0
325,0.09620941,0
326,0.05118354,0
327,0.00152164,0
328,0.03213559,0
329,0.00120054,0
330,0.00013931,0
331,0.00071420,0
332,0.11091223,0
333,0.00020913,0
334,0.00756010,0
335,0.00073942,0
336,0.00047015,0
337,0.00087398,0
338,0.00014970,0
339,0.00048888,0
340,0.00012955,0
341,0.00056486,0
342,0.00004916,0
343,0.00015799,0
344,0.00016833,0
345,0.00029032,0
346,0.00131422,0
347,0.00005191,0
348,0.00194616,0
349,0.00010911,0
350,0.00025644,0
351,0.00022241,0
352,0.05427705,0
353,0.00046020,0
354,0.02725446,0
355,0.00117674,0
356,0.00146595,0
357,0.00400383,0
358,0.00083354,0
359,0.00082209,0
360,0.00106290,0
361,0.06555256,0
362,0.00289426,0
363,0.00057038,0
364,0.00044107,0
365,0.02318222,0
366,0.00058967,0
367,0.00045831,0
368,0.00251881,0
369,0.00052650,0
370,0.01304389,0
371,0.00351476,0
372,0.00107777,0
373,0.02946126,0
374,0.00096272,0
375,0.00052877,0
376,0.00225192,0
377,0.39893407,0
378,0.42492934,0
379,0.00026926,0
380,0.01716069,0
381,0.00547067,0
382,0.00209149,0
383,0.00540774,0
384,0.00051241,0
385,0.00021865,0
386,0.00063989,0
387,0.04733377,0
388,0.00024171,0
389,0.00397288,0
390,0.00212353,0
391,0.00026435,0
392,0.00124452,0
393,0.00017963,0
394,0.00025570,0
395,0.00014025,0
396,0.00032593,0
397,0.00015125,0
398,0.00026729,0
399,0.00027144,0
400,0.00016940,0
401,0.00059336,0
402,0.00007728,0
403,0.00110031,0
404,0.00026485,0
405,0.00034853,0
406,0.00025573,0
407,0.04822698,0
408,0.00036329,0
409,0.02149404,0
410,0.00108050,0
411,0.00245037,0
412,0.00301045,0
413,0.00126120,0
414,0.00095086,0
415,0.00094145,0
416,0.04586520,0
417,0.00431774,0
418,0.00027816,0
419,0.00040905,0
420,0.00800748,0
421,0.00099247,0
422,0.00046651,0
423,0.00196514,0
424,0.00089420,0
425,0.00867883,0
426,0.00393628,0
427,0.00145370,0
428,0.01710653,0
429,0.00126905,0
430,0.00073113,0
431,0.00270376,0
432,0.28011232,0
433,0.13037426,0
434,0.10462633,0
435,0.02358653,0
436,0.01474302,0
437,0.00341057,0
438,0.00593669,0
439,0.00090669,0
440,0.00091527,0
441,0.00188447,0
442,0.22386187,0
443,0.00050925,0
444,0.00447521,0
445,0.00364093,0
446,0.00060855,0
447,0.00089402,0
448,0.00028251,0
449,0.00032897,0
450,0.00020306,0
451,0.00046030,0
452,0.00041032,0
453,0.00050112,0
454,0.00061433,0
455,0.00020713,0
456,0.00131153,0
457,0.00020948,0
458,0.00112680,0
459,0.00068932,0
460,0.00067060,0
461,0.00036097,0
462,0.04305092,0
463,0.00032621,0
464,0.01591698,0
465,0.00087166,0
466,0.00322921,0
467,0.00239401,0
468,0.00180538,0
469,0.00106157,0
470,0.00068113,0
471,0.03461794,0
472,0.00579147,0
473,0.00026406,0
474,0.00048865,0
475,0.00568983,0
476,0.00126071,0
477,0.00053593,0
478,0.00193390,0
479,0.00109454,0
480,0.00799858,0
481,0.00495052,0
482,0.00165213,0
483,0.01407381,0
484,0.00156490,0
485,0.00093366,0
486,0.00287235,0
487,0.26142999,0
488,0.32998859,0
489,0.00046516,0
490,0.00874986,0
491,0.00298803,0
492,0.00444836,0
493,0.00362084,0
494,0.00117416,0
495,0.00138456,0
496,0.00289245,0
497,0.04282887,0
498,0.00097018,0
499,0.00458124,0
500,0.00429717,0
501,0.00054021,0
502,0.00131596,0
503,0.00030282,0
504,0.00030906,0
505,0.00026763,0
506,0.00040559,0
507,0.00060227,0
508,0.00034377,0
509,0.00064691,0
510,0.00017680,0
511,0.00133598,0
